Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room,AccX,AccY,AccZ,Activity
-68.6,-99.442,-82.15,-86.958,1,0.099653,0.85799,0.26944,1
-69,-99.331,-81.8,-86.667,1,0.87344,0.54479,0.18437,1
-68.6,-99.219,-80.8,-85.833,1,0.67969,0.5974,0.15937,1
-69,-99.107,-79.8,-86.667,1,-0.0017361,0.77049,0.59097,1
-68.6,-98.996,-79.525,-86.583,1,0.053333,0.41972,0.95806,1
-69,-98.884,-79.8,-86.667,1,-0.0083333,0.39139,0.92819,1
-69,-98.661,-79.8,-86.75,1,-0.0051389,0.38649,0.92066,1
-69,-98.438,-79.25,-87,1,-0.065799,0.5276,0.86233,1
-69,-98.215,-79.25,-87,1,-0.054583,0.6125,0.79396,1
-69.4,-97.992,-79.25,-87,1,0.15729,-0.18437,0.94937,1
-70.75,-97.769,-79.25,-87,1,0.21141,-0.16922,0.94344,1
-70.75,-97.545,-79.25,-87.25,1,-0.25486,0.70833,0.60608,1
-69.5,-97.322,-79.25,-87.5,1,-0.34146,0.76583,0.46646,1
-69.5,-97.099,-80,-87.5,1,-0.26745,0.81979,0.43047,1
-70.75,-96.876,-80,-87.75,1,-0.30219,0.81094,0.44125,1
-71,-96.653,-80,-88,1,-0.28056,0.8,0.47917,1
-71,-96.43,-77.8,-88,1,-0.32161,0.85521,0.34609,1
-71,-96.207,-77.6,-89.5,1,-0.2225,0.77625,0.4975,1
-71,-95.983,-77.8,-89.5,1,-0.10391,0.63125,0.7349,1
-71.75,-95.76,-75,-89.5,1,-0.33208,0.73958,0.65865,1
-71.75,-95.537,-77.8,-91,1,-0.27813,0.57813,0.77969,1
-73.25,-95.314,-75,-91,1,-0.27188,0.56458,0.78125,1
-73.25,-95.091,-75,-91.333,1,-0.28069,0.54139,0.79542,1
-73.8,-94.868,-75,-89.5,1,-0.21597,0.32847,0.93611,1
-73.8,-94.645,-74.8,-89,1,-0.21875,0.32694,0.93861,1
-74.2,-94.421,-73.8,-89,1,-0.21875,0.32222,0.9375,1
-74.2,-94.198,-74.8,-89,1,-0.22135,0.3125,0.93906,1
-75,-93.975,-75,-88.333,1,-0.21875,0.31458,0.94063,1
-74.75,-93.752,-75,-88.333,1,-0.21875,0.31375,0.93875,1
-74.75,-93.529,-75,-89,1,-0.21875,0.31361,0.945,1
-74.75,-93.306,-75,-89,1,-0.21875,0.31344,0.93938,1
-73.8,-93.083,-75,-89,1,-0.21875,0.31417,0.9375,1
-73.8,-92.86,-76.6,-89,1,-0.21875,0.3125,0.9375,1
-74.75,-92.636,-75.2,-89,1,-0.21875,0.31125,0.9375,1
-74.75,-92.413,-75.2,-88.333,1,-0.21958,0.31403,0.93833,1
-75,-92.19,-75.2,-89,1,-0.21875,0.31875,0.94115,1
-75.2,-91.967,-76.6,-90.5,1,-0.21875,0.32674,0.94271,1
-75.2,-91.744,-76.6,-90.5,1,-0.21875,0.33,0.94,1
-75.2,-91.521,-76.6,-92.5,1,-0.2201,0.3301,0.93562,1
-75.5,-91.298,-76.6,-93,1,-0.21875,0.32778,0.93854,1
-75.5,-91.074,-76.6,-92.5,1,-0.21875,0.33146,0.93944,1
-75.5,-90.851,-76.6,-92.5,1,-0.21875,0.33486,0.93931,1
-75.5,-90.628,-76.6,-90.5,1,-0.21875,0.33187,0.93722,1
-75.5,-90.405,-75.4,-88,1,-0.21875,0.33729,0.93938,1
-75.5,-90.182,-76,-88,1,-0.21997,0.33976,0.9375,1
-75.5,-89.959,-75.4,-88,1,-0.21875,0.33667,0.9375,1
-74.333,-89.736,-75.4,-88,1,-0.22097,0.34819,0.9375,1
-73.6,-89.512,-75.4,-87.5,1,-0.21719,0.3349,0.93594,1
-73.25,-89.289,-76,-88,1,-0.21875,0.33698,0.9349,1
-73.25,-89.066,-74,-87.5,1,-0.22187,0.35521,0.92812,1
-73,-88.843,-73.833,-87.5,1,-0.22031,0.35,0.92812,1
-73,-88.62,-73.833,-87,1,-0.22344,0.35781,0.92812,1
-73.25,-88.397,-73.833,-87,1,-0.21875,0.34757,0.93368,1
-73.25,-88.174,-73.25,-87,1,-0.21597,0.34965,0.92951,1
-73,-87.95,-73.833,-87,1,-0.21667,0.34757,0.93194,1
-72.2,-87.727,-73.833,-87,1,-0.2216,0.35076,0.93222,1
-71.333,-87.504,-73.833,-86,1,-0.21875,0.34656,0.93281,1
-71.333,-87.281,-74,-86,1,-0.21875,0.34826,0.93229,1
-72.2,-87.058,-74,-86,1,-0.21875,0.35243,0.9276,1
-73.8,-86.835,-74,-86,1,-0.22153,0.35069,0.93229,1
-73.8,-86.612,-76,-86,1,-0.21528,0.34896,0.93021,1
-74,-86.388,-76.5,-86,1,-0.21875,0.35292,0.9316,1
-74,-86.165,-76.5,-86,1,-0.22396,0.3625,0.92188,1
-74,-85.942,-76.5,-86,1,-0.22813,0.35521,0.92396,1
-74.667,-85.719,-77.75,-86,1,-0.23516,0.34609,0.92578,1
-75.5,-85.496,-77.75,-87,1,-0.26573,0.4049,0.91281,1
-76,-85.273,-76,-87.65,1,0.074479,0.60451,0.72622,1
-76.667,-85.05,-76,-87.65,1,-0.18437,0.60347,0.70694,1
-78,-84.826,-77,-86,1,-0.26833,0.38542,0.91625,1
-78,-84.603,-76,-86,1,-0.24427,0.33507,0.94462,1
-76.667,-84.38,-75.4,-85,1,-0.18917,0.23313,0.96583,1
-76.667,-84.157,-75,-84,1,-0.19132,0.23507,0.96875,1
-75,-83.934,-75,-84.188,1,-0.1875,0.24083,0.96958,1
-75,-83.711,-75,-84.188,1,-0.19687,0.24757,0.96875,1
-74.667,-83.488,-75.4,-84.188,1,-0.24281,0.36479,0.95135,1
-73,-83.264,-75.4,-84.188,1,-0.50625,-0.41094,0.17031,1
-70.25,-83.041,-76,-84.188,1,0.31479,-0.80646,0.37833,1
-69.6,-82.818,-76,-84.188,1,0.24375,-0.79219,0.42891,1
