Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room,AccX,AccY,AccZ,Activity
-67.8,-98.502,-74.825,-89,1,0.32049,-0.4224,-0.77066,1
-66,-98.202,-75.25,-89,1,0.39688,-0.61458,-0.60417,1
-65.625,-97.903,-75.325,-88.75,1,-0.29583,0.14219,0.45382,1
-65.25,-97.603,-75.4,-88.5,1,0.033785,0.87684,0.46507,1
-64.625,-97.304,-75.325,-88.333,1,-0.024583,0.68931,0.60028,1
-64,-97.004,-75.25,-88.167,1,0.0375,0.66656,0.67281,1
-65.25,-96.405,-75.25,-87.333,1,0.23516,0.22578,0.94531,1
-66,-95.806,-75.25,-86.667,1,0.2375,0.15859,1.0016,1
-65.25,-95.207,-74.25,-86.5,1,0.19115,0.035417,0.98906,1
-65.25,-94.607,-74.25,-86.5,1,0.20297,-0.19453,0.98734,1
-65.25,-94.008,-75.25,-86.5,1,0.21719,-0.19062,0.97813,1
-65.25,-93.409,-75.25,-86.5,1,0.24583,-0.4125,0.90625,1
-65.4,-92.81,-76,-86.5,1,0.27865,-0.39167,0.8467,1
-67.25,-92.211,-76,-86,1,0.43177,0.46597,0.72517,1
-68.5,-91.612,-81.8,-85.667,1,-0.10972,0.79931,-0.37778,1
-68.667,-91.012,-82,-85,1,-0.25938,0.7849,-0.44505,1
-71,-90.413,-82,-85,1,-0.27101,0.66389,-0.62326,1
-73.75,-89.814,-83,-85.6,1,-0.19913,0.86708,-0.19049,1
-74,-89.215,-83,-85.6,1,-0.21722,0.90569,-0.074444,1
-74.75,-88.616,-83,-85.6,1,-0.21934,0.86455,-0.22642,1
-74,-88.017,-82,-83.5,1,-0.21979,0.84132,-0.34497,1
-74,-87.417,-81.8,-83.5,1,-0.23333,0.8676,-0.20135,1
-74,-86.818,-81.8,-83.5,1,-0.25354,0.89455,-0.10528,1
-74,-86.219,-81.8,-83.5,1,-0.24837,0.89049,-0.12337,1
-74,-85.62,-82,-83.5,1,-0.22986,0.89792,-0.13917,1
-73.75,-85.021,-82,-85.6,1,-0.22781,0.89104,-0.14844,1
-70.25,-84.421,-82,-85.813,1,-0.21484,0.76719,-0.46094,1
-68.5,-83.822,-83.25,-88.125,1,-0.26094,0.64453,-0.61562,1
-67.75,-83.223,-83.5,-90.438,1,-0.27156,0.67719,-0.58594,1
-67.75,-82.624,-83.667,-92.75,1,-0.27344,0.68594,-0.57031,1
-67.75,-82.025,-85,-92.75,1,-0.27344,0.68437,-0.56875,1
-67.75,-81.426,-85.75,-92.75,1,-0.27813,0.68281,-0.57188,1
-67.75,-80.826,-85.75,-94,1,-0.27708,0.6875,-0.56354,1
-67.75,-80.227,-85,-94,1,-0.28819,0.66736,-0.59236,1
-68.5,-79.628,-85,-94,1,-0.32344,0.62344,-0.6125,1
-68.5,-79.029,-85,-94,1,-0.31042,0.62917,-0.61979,1
-66.75,-78.43,-83.667,-91,1,-0.31094,0.65,-0.59271,1
-66.5,-77.831,-82.25,-90.5,1,0.18646,0.73993,0.29861,1
-66.75,-77.231,-82.25,-90.333,1,0.45781,0.39635,0.76181,1
-66.75,-76.632,-82.25,-90,1,0.38087,0.43882,0.78931,1
-66.5,-76.033,-82,-90,1,-0.025764,0.52635,0.8001,1
-66.4,-75.434,-82,-90,1,-0.17438,0.54688,0.73635,1
-65.5,-74.835,-80.2,-89.667,1,-0.52535,0.49653,-0.6184,1
-65.5,-74.236,-81.333,-86.5,1,-0.46875,0.53819,-0.59549,1
-65.5,-73.636,-82,-85,1,-0.46944,0.53889,-0.59514,1
-64.75,-73.037,-82.25,-86,1,-0.47063,0.54146,-0.59521,1
-64.75,-72.438,-84,-86,1,-0.47323,0.53312,-0.59253,1
-65.5,-71.839,-84,-86,1,-0.47201,0.53819,-0.59375,1
-65,-71.24,-84,-86,1,-0.47378,0.53733,-0.59688,1
-64.75,-70.64,-81.333,-85,1,-0.4776,0.53906,-0.59375,1
-65,-70.041,-81.333,-86,1,-0.46875,0.5399,-0.59375,1
-66.4,-69.442,-81.333,-86.5,1,-0.47743,0.54132,-0.59132,1
-65,-68.843,-80.5,-87,1,-0.054167,0.9092,-0.11476,1
-65,-68.244,-80.5,-87,1,0.036875,0.93609,0.1,1
-65,-67.645,-77.75,-89,1,0.03125,0.93854,0.097396,1
-66,-67.045,-76.25,-90.5,1,0.03375,0.9375,0.09375,1
-66,-66.446,-76,-91.2,1,0.035208,0.9375,0.09375,1
-65,-65.847,-75.75,-91.9,1,0.033333,0.9375,0.092187,1
-65,-65.248,-76,-91.9,1,0.03125,0.9375,0.094375,1
-66,-64.649,-76.25,-91.9,1,0.03125,0.93437,0.045312,1
-68.2,-64.05,-76,-92.6,1,0.0035417,0.92188,-0.083958,1
-68.2,-63.45,-76,-92.6,1,0.025,0.9375,0.11875,1
-68,-62.851,-76,-92.6,1,0.028542,0.9375,0.11208,1
-68,-62.252,-74.8,-92.6,1,0.029219,0.9375,0.10813,1
-68,-61.653,-76,-92.6,1,0.029219,0.9375,0.11781,1
-67.667,-61.054,-76,-92.6,1,0.03125,0.9375,0.10938,1
-67.667,-60.455,-76,-89,1,0.03125,0.9375,0.1151,1
-68,-59.855,-77.6,-89,1,0.03125,0.9375,0.10083,1
