Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room,AccX,AccY,AccZ,Activity
-30.667,-100,-72.25,-90,1,0.32049,-0.4224,-0.77066,1
-45,-100,-74.25,-88.5,1,0.39688,-0.61458,-0.60417,1
-72.333,-100,-76,-93.75,1,-0.29583,0.14219,0.45382,1
-74.6,-100,-75.5,-86.667,1,0.033785,0.87684,0.46507,1
-69.6,-100,-68.333,-89,1,-0.024583,0.68931,0.60028,1
-66,-100,-75.4,-89,1,0.0375,0.66656,0.67281,1
-65.25,-100,-75.25,-100,1,0.23516,0.22578,0.94531,1
-53.5,-100,-77.5,-100,1,0.2375,0.15859,1.0016,1
-64,-100,-76,-100,1,0.19115,0.035417,0.98906,1
-61.5,-100,-73.2,-100,1,0.20297,-0.19453,0.98734,1
-62.75,-100,-74.25,-100,1,0.21719,-0.19062,0.97813,1
-68.667,-100,-74,-84,1,0.24583,-0.4125,0.90625,1
-67.25,-100,-68.5,-85,1,0.27865,-0.39167,0.8467,1
-64,-100,-74.25,-78,1,0.43177,0.46597,0.72517,1
-82,-100,-87.333,-91.667,1,-0.10972,0.79931,-0.37778,1
-71,-100,-91.333,-100,1,-0.25938,0.7849,-0.44505,1
-68.5,-100,-95,-93,1,-0.27101,0.66389,-0.62326,1
-65.4,-100,-83.75,-86.667,1,-0.19913,0.86708,-0.19049,1
-73.75,-100,-81.8,-86,1,-0.21722,0.90569,-0.074444,1
-78.25,-100,-82,-82,1,-0.21934,0.86455,-0.22642,1
-80.667,-100,-83,-82,1,-0.21979,0.84132,-0.34497,1
-76.5,-100,-79.8,-81.2,1,-0.23333,0.8676,-0.20135,1
-74,-100,-83.25,-85.6,1,-0.25354,0.89455,-0.10528,1
-74.75,-100,-80,-82.333,1,-0.24837,0.89049,-0.12337,1
-75,-100,-81.6,-77,1,-0.22986,0.89792,-0.13917,1
-73.75,-100,-79.6,-83.5,1,-0.22781,0.89104,-0.14844,1
-63.75,-100,-78,-100,1,-0.21484,0.76719,-0.46094,1
-66.25,-100,-87,-100,1,-0.26094,0.64453,-0.61562,1
-67.2,-100,-83.5,-100,1,-0.27156,0.67719,-0.58594,1
-67.75,-100,-82,-100,1,-0.27344,0.68594,-0.57031,1
-68.5,-100,-85,-100,1,-0.27344,0.68437,-0.56875,1
-70.25,-100,-100,-100,1,-0.27813,0.68281,-0.57188,1
-58,-100,-88.667,-100,1,-0.27708,0.6875,-0.56354,1
-63.667,-100,-83.667,-102,1,-0.28819,0.66736,-0.59236,1
-81.4,-100,-92.5,-100,1,-0.32344,0.62344,-0.6125,1
-74,-100,-98,-86,1,-0.31042,0.62917,-0.61979,1
-84,-100,-85.75,-90.5,1,-0.31094,0.65,-0.59271,1
-66.5,-100,-74.333,-96,1,0.18646,0.73993,0.29861,1
-63.667,-100,-78.5,-90,1,0.45781,0.39635,0.76181,1
-71,-100,-74.667,-85,1,0.38087,0.43882,0.78931,1
-66.75,-100,-77,-78,1,-0.025764,0.52635,0.8001,1
-59.5,-100,-82,-91,1,-0.17438,0.54688,0.73635,1
-65.5,-100,-82.25,-90.333,1,-0.52535,0.49653,-0.6184,1
-74,-100,-86.667,-90,1,-0.46875,0.53819,-0.59549,1
-57,-100,-87.667,-82,1,-0.46944,0.53889,-0.59514,1
-62.8,-100,-74.5,-84,1,-0.47063,0.54146,-0.59521,1
-66.4,-100,-93,-86.5,1,-0.47323,0.53312,-0.59253,1
-64.75,-100,-80.2,-89.667,1,-0.47201,0.53819,-0.59375,1
-68,-100,-81.333,-83,1,-0.47378,0.53733,-0.59688,1
-60.75,-100,-90.25,-79.5,1,-0.4776,0.53906,-0.59375,1
-60,-100,-84,-86,1,-0.46875,0.5399,-0.59375,1
-70.5,-100,-85,-85,1,-0.47743,0.54132,-0.59132,1
-72.333,-100,-75.5,-100,1,-0.054167,0.9092,-0.11476,1
-65,-100,-75.75,-100,1,0.036875,0.93609,0.1,1
-62.75,-100,-77.75,-85,1,0.03125,0.93854,0.097396,1
-68.75,-100,-81.4,-89,1,0.03375,0.9375,0.09375,1
-68.2,-100,-76.25,-87,1,0.035208,0.9375,0.09375,1
-62.5,-100,-80.5,-90.5,1,0.033333,0.9375,0.092187,1
-64.6,-100,-74.75,-100,1,0.03125,0.9375,0.094375,1
-69.6,-100,-76,-100,1,0.03125,0.93437,0.045312,1
-66,-100,-74.2,-100,1,0.0035417,0.92188,-0.083958,1
-65,-100,-74.75,-100,1,0.025,0.9375,0.11875,1
-64.6,-100,-73.6,-94,1,0.028542,0.9375,0.11208,1
-69,-100,-77.6,-100,1,0.029219,0.9375,0.10813,1
-70.5,-100,-77.8,-100,1,0.029219,0.9375,0.11781,1
-77,-100,-74.8,-94.5,1,0.03125,0.9375,0.10938,1
-76.5,-100,-76,-85,1,0.03125,0.9375,0.1151,1
-68,-100,-80.8,-89,1,0.03125,0.9375,0.10083,1
-67.667,-100,-74.333,-100,1,0.03125,0.9375,0.10729,1
-63.667,-100,-76,-100,1,0.033333,0.93854,0.1125,1
-67,-100,-77.667,-100,1,0.033333,0.94792,0.1,1
-66.75,-100,-79.5,-84,1,0.03125,0.9375,0.1026,1
-68.4,-100,-80.2,-90,1,0.03125,0.9375,0.10542,1
-68,-100,-81.167,-100,1,0.03125,0.93698,0.099219,1
-71,-100,-86.2,-100,1,0.030833,0.93896,0.095833,1
-70.25,-100,-78.833,-98,1,0.03125,0.93403,0.10868,1
-66,-100,-72.667,-100,1,0.03125,0.9375,0.10833,1
-69.5,-100,-68.5,-100,1,0.03125,0.9375,0.099219,1
-66,-100,-77.8,-100,1,0.03125,0.9375,0.097188,1
-68.25,-100,-74.2,-102,1,0.03125,0.93844,0.095417,1
-66.8,-100,-75.2,-100,1,0.03,0.93625,0.10625,1
-68.2,-100,-82.75,-100,1,0.03125,0.9375,0.10688,1
-66.667,-100,-86,-100,1,0.03125,0.93672,0.10078,1
-69.75,-100,-77.25,-87,1,0.03125,0.9375,0.10521,1
-67.5,-100,-80.333,-88,1,0.03125,0.9375,0.10816,1
-67.6,-100,-87.5,-100,1,0.029062,0.9375,0.10844,1
-68.75,-100,-74.667,-100,1,0.03125,0.93672,0.10234,1
-60,-100,-82.5,-100,1,0.055469,0.93125,0.11797,1
-73.5,-100,-74.8,-86.5,1,0.050208,0.92979,0.11198,1
-70,-100,-83.75,-100,1,0.059896,0.9401,0.042969,1
-72.5,-100,-79.6,-95,1,0.043125,0.95125,0.015729,1
-61.6,-100,-82,-83,1,0.26,0.16656,0.8074,1
-64.667,-100,-71.25,-85,1,0.38472,-0.35642,0.84375,1
-68.75,-100,-81.75,-87,1,0.45938,0.48299,0.60382,1
-73.6,-100,-74,-80,1,0.18653,0.84986,-0.16847,1
-67.5,-100,-81.667,-88.5,1,-0.20434,0.73924,-0.54358,1
-65.667,-100,-78.2,-82.5,1,-0.19868,0.71215,-0.57576,1
-71.5,-100,-82.5,-84.667,1,-0.18021,0.81493,-0.3816,1
-67.5,-100,-86,-89,1,-0.16667,0.78403,-0.47969,1
-64,-100,-86.5,-85.75,1,-0.18108,0.72951,-0.54809,1
-59.25,-100,-77.5,-85.667,1,-0.21997,0.67344,-0.60538,1
-62.2,-100,-82.8,-85.75,1,-0.23729,0.65802,-0.61604,1
-75,-100,-78,-81,1,-0.24097,0.65174,-0.625,1
-68,-100,-83.75,-85.5,1,-0.24531,0.62604,-0.6533,1
-63.25,-100,-83,-87,1,-0.24083,0.61729,-0.65625,1
-58,-100,-86,-80.75,1,-0.23802,0.64479,-0.6224,1
-62.25,-100,-85,-90,1,-0.23229,0.65625,-0.61729,1
-67.5,-100,-75,-85,1,-0.22847,0.65625,-0.625,1
-63,-100,-74.667,-86.333,1,-0.2217,0.65434,-0.62691,1
-69.667,-100,-82,-82.8,1,-0.225,0.65083,-0.62736,1
-67.5,-100,-82.333,-82.5,1,-0.23385,0.65017,-0.62552,1
-67,-100,-90,-100,1,-0.2,0.60625,-0.68073,1
-76.6,-100,-85.5,-89,1,-0.18188,0.64635,-0.63812,1
-66.25,-100,-84.667,-85.667,1,-0.056424,0.82934,-0.3283,1
-67,-100,-73.4,-94,1,-0.078229,0.79438,0.076979,1
-45.25,-100,-72,-90,1,0.45094,-0.63417,0.24365,1
-56.5,-100,-79,-83,1,0.15573,-0.88802,0.29167,1
-34,-100,-72.6,-100,1,0.18969,-0.86672,0.27375,1
-32,-100,-74.333,-83,1,0.36007,-0.81493,-0.21701,1
-34.25,-100,-79.25,-86,1,0.37083,-0.52865,-0.69792,1
-35.5,-100,-78.8,-85,1,0.30406,-0.42896,-0.78052,1
-100,-27.5,-100,-100,2,-0.078125,-0.034375,-0.9375,2
-100,-28,-100,-100,2,-0.070833,-0.020833,-0.93542,2
-100,-29.333,-100,-100,2,-0.064583,-0.010417,-0.92917,2
-100,-29.667,-100,-100,2,-0.0625,-0.0041667,-0.93333,2
-100,-27.5,-100,-100,2,-0.0625,-0.01875,-0.93594,2
-100,-41.25,-100,-90,2,-0.10234,0.071094,-0.93672,2
-100,-48,-100,-90.333,2,0.33125,0.54896,0.098958,2
-100,-53,-100,-82.5,2,0.78073,0.53594,-0.0067708,2
-100,-56,-100,-86,2,0.77187,0.45156,0.12578,2
-100,-60.667,-100,-84,2,0.85417,0.088542,0.38542,2
-100,-58.5,-100,-86,2,0.82344,0.30078,0.38438,2
-96,-70.75,-100,-84.333,2,0.8651,0.39722,-0.019097,2
-100,-56.75,-100,-81,2,0.91875,0.23828,0.052344,2
-100,-67,-100,-76,2,0.89453,0.32734,0.098437,2
-90,-64.75,-100,-81,2,0.85677,0.34063,-0.019271,2
-94,-61.4,-100,-89.5,2,0.92104,0.14854,0.089167,2
-86.5,-77,-100,-78.5,2,0.89063,0.16215,0.16701,2
-91.5,-62,-100,-79,2,0.84531,0.16562,0.1375,2
-81,-56.333,-100,-80.5,2,0.97292,0.12917,-0.051736,2
-100,-54.2,-100,-88.333,2,0.94479,0.14333,-0.063333,2
-100,-59.8,-100,-87,2,0.95531,0.14281,-0.054375,2
-96.333,-59.6,-100,-85.667,2,0.95306,0.12611,-0.038889,2
-87,-69.25,-100,-87.4,2,0.96677,0.085729,-0.031458,2
-100,-65.333,-100,-100,2,0.95,0.097917,-0.079167,2
-100,-67.25,-100,-83,2,0.98438,0.13281,0.015625,2
-100,-60.667,-100,-83,2,0.90156,0.21042,-0.23385,2
-100,-69.6,-100,-100,2,0.94375,0.11875,-0.055,2
-86.667,-67,-100,-86,2,0.96875,0.17639,-0.064236,2
-100,-72.333,-100,-93.333,2,0.98229,0.18958,-0.017708,2
-88,-75.2,-100,-83,2,1.0562,0.26208,-0.015833,2
-87.5,-70,-100,-90.333,2,1.0146,0.21424,-0.10347,2
-100,-62,-100,-86,2,0.98375,0.24063,-0.0075,2
-100,-61.333,-100,-100,2,1.0375,0.26667,-0.05625,2
-100,-49.4,-100,-100,2,0.9075,0.3225,0.03,2
-100,-50.333,-100,-96,2,0.89896,0.30208,-0.23229,2
-100,-38.5,-100,-100,2,0.97188,0.19062,-0.065625,2
