Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room
-65.193,-99.691,-69.671,-85.541,1
-63.2,-100,-72.322,-86.595,1
-62.017,-100.32,-74.213,-88.398,1
-61.619,-100.52,-75.219,-90.78,1
-61.861,-100.53,-75.398,-93.361,1
-62.521,-100.34,-74.963,-95.652,1
-63.355,-100.03,-74.218,-97.186,1
-64.152,-99.697,-73.496,-97.66,1
-64.78,-99.476,-73.094,-97.021,1
-65.21,-99.447,-73.225,-95.487,1
-65.512,-99.623,-74,-93.48,1
-65.83,-99.942,-75.418,-91.495,1
-66.334,-100.29,-77.37,-89.952,1
-67.168,-100.53,-79.661,-89.068,1
-68.404,-100.58,-82.029,-88.798,1
-70.016,-100.41,-84.18,-88.865,1
-71.87,-100.09,-85.826,-88.859,1
-73.751,-99.729,-86.732,-88.395,1
-75.402,-99.463,-86.763,-87.263,1
-76.576,-99.392,-85.926,-85.523,1
-77.091,-99.547,-84.381,-83.52,1
-76.859,-99.873,-82.437,-81.803,1
-75.911,-100.25,-80.498,-80.975,1
-74.382,-100.54,-78.995,-81.512,1
-72.493,-100.64,-78.295,-83.61,1
-70.507,-100.5,-78.62,-87.107,1
-68.687,-100.17,-79.99,-91.495,1
-67.261,-99.769,-82.213,-96.04,1
-66.392,-99.451,-84.916,-99.951,1
-66.159,-99.332,-87.623,-102.58,1
-66.55,-99.46,-89.85,-103.55,1
-67.468,-99.792,-91.208,-102.86,1
-68.739,-100.21,-91.476,-100.83,1
-70.135,-100.55,-90.64,-98.024,1
-71.401,-100.7,-88.884,-95.046,1
-72.288,-100.59,-86.541,-92.426,1
-72.599,-100.25,-84.021,-90.484,1
-72.223,-99.819,-81.727,-89.286,1
-71.163,-99.442,-79.984,-88.678,1
-69.546,-99.266,-78.998,-88.378,1
-67.61,-99.36,-78.829,-88.091,1
-65.658,-99.695,-79.404,-87.614,1
-64.002,-100.15,-80.544,-86.895,1
-62.894,-100.56,-82.002,-86.032,1
-62.472,-100.77,-83.504,-85.223,1
-62.732,-100.7,-84.786,-84.685,1
-63.527,-100.36,-85.635,-84.574,1
-64.611,-99.882,-85.907,-84.934,1
-65.698,-99.436,-85.554,-85.69,1
-66.54,-99.191,-84.623,-86.679,1
-66.979,-99.242,-83.254,-87.717,1
-66.985,-99.578,-81.654,-88.664,1
-66.645,-100.08,-80.056,-89.467,1
-66.127,-100.57,-78.676,-90.173,1
-65.628,-100.85,-77.663,-90.896,1
-65.312,-100.83,-77.071,-91.768,1
-65.27,-100.49,-76.849,-92.873,1
-65.512,-99.962,-76.856,-94.203,1
-65.979,-99.433,-76.911,-95.643,1
-66.578,-99.102,-76.845,-96.999,1
-67.223,-99.097,-76.56,-98.044,1
-67.859,-99.432,-76.061,-98.586,1
-68.466,-99.989,-75.458,-98.523,1
-69.046,-100.57,-74.939,-97.874,1
-69.595,-100.95,-74.706,-96.781,1
-70.074,-100.99,-74.914,-95.47,1
-70.408,-100.66,-75.61,-94.202,1
-70.497,-100.07,-76.708,-93.219,1
-70.261,-99.433,-78.003,-92.693,1
-69.676,-98.99,-79.219,-92.708,1
-68.816,-98.911,-80.082,-93.252,1
-67.847,-99.24,-80.396,-94.231,1
-66.999,-99.866,-80.095,-95.503,1
-66.5,-100.57,-79.267,-96.894,1
-66.498,-101.08,-78.126,-98.227,1
-67.003,-101.21,-76.959,-99.34,1
-67.869,-100.88,-76.051,-100.1,1
-68.818,-100.21,-75.616,-100.42,1
-69.53,-99.435,-75.752,-100.27,1
-69.738,-98.838,-76.422,-99.703,1
-69.328,-98.655,-77.484,-98.817,1
-68.39,-98.972,-78.725,-97.784,1
-67.199,-99.693,-79.924,-96.791,1
-66.137,-100.56,-80.893,-96.001,1
-65.57,-101.26,-81.509,-95.505,1
-65.717,-101.52,-81.72,-95.282,1
-66.569,-101.21,-81.538,-95.202,1
-67.878,-100.42,-81.027,-95.042,1
-69.224,-99.436,-80.281,-94.559,1
-70.157,-98.607,-79.418,-93.557,1
-70.35,-98.262,-78.574,-91.972,1
-69.717,-98.56,-77.893,-89.904,1
-68.458,-99.426,-77.517,-87.618,1
-67,-100.57,-77.562,-85.482,1
-65.853,-101.57,-78.083,-83.874,1
-65.423,-102.03,-79.051,-83.065,1
-65.859,-101.75,-80.334,-83.139,1
-66.972,-100.77,-81.708,-83.952,1
-68.276,-99.419,-82.902,-85.163,1
-69.151,-98.183,-83.66,-86.333,1
-69.058,-97.546,-83.815,-87.05,1
-67.761,-97.809,-83.35,-87.062,1
-65.455,-98.952,-82.417,-86.355,1
-62.758,-100.62,-81.31,-85.167,1
-60.549,-102.22,-80.387,-83.919,1
-59.684,-103.12,-79.965,-83.083,1
-60.696,-102.88,-80.218,-83.033,1
-63.554,-101.47,-81.099,-83.915,1
-67.582,-99.262,-82.34,-85.593,1
-71.589,-97.031,-83.509,-87.678,1
-74.169,-95.658,-84.132,-89.642,1
-74.114,-95.848,-83.843,-90.981,1
-70.811,-97.831,-82.515,-91.378,1
-64.501,-101.19,-80.33,-90.808,1
-56.313,-104.88,-77.769,-89.556,1
-48.041,-107.42,-75.51,-88.141,1
-41.727,-107.3,-74.26,-87.161,1
-39.144,-103.39,-74.572,-87.104,1
-41.331,-95.262,-76.69,-88.2,1
-48.316,-83.45,-80.469,-90.337,1
-59.097,-69.34,-85.405,-93.084,1
-71.889,-54.913,-90.746,-95.809,2
-84.576,-42.3,-95.677,-97.852,2
-95.227,-33.297,-99.515,-98.708,2
-102.54,-28.973,-101.86,-98.161,2
-106.09,-29.458,-102.67,-96.322,2
-106.31,-33.98,-102.24,-93.585,2
-104.3,-41.106,-101.08,-90.495,2
-101.37,-49.133,-99.77,-87.587,2
-98.714,-56.497,-98.796,-85.248,2
-97.034,-62.098,-98.431,-83.637,2
-96.457,-65.463,-98.698,-82.686,2
-96.609,-66.719,-99.401,-82.177,2
-96.849,-66.418,-100.23,-81.858,2
-96.578,-65.283,-100.87,-81.556,2
-95.491,-63.961,-101.12,-81.245,2
-93.703,-62.864,-100.93,-81.046,2
-91.7,-62.129,-100.42,-81.162,2
-90.151,-61.687,-99.805,-81.783,2
-89.648,-61.396,-99.316,-82.978,2
-90.468,-61.175,-99.12,-84.646,2
-92.459,-61.079,-99.264,-86.52,2
-95.069,-61.289,-99.668,-88.244,2
-97.527,-62.02,-100.16,-89.484,2
-99.103,-63.402,-100.56,-90.047,2
-99.353,-65.365,-100.73,-89.948,2
-98.278,-67.598,-100.61,-89.421,2
-96.319,-69.597,-100.28,-88.837,2
-94.207,-70.796,-99.859,-88.589,2
-92.715,-70.74,-99.516,-88.952,2
-92.388,-69.233,-99.371,-89.981,2
-93.357,-66.428,-99.468,-91.483,2
-95.293,-62.801,-99.757,-93.065,2
-97.515,-59.043,-100.12,-94.255,2
-99.23,-55.874,-100.43,-94.645,2
-99.797,-53.86,-100.56,-94.03,2
-98.959,-53.277,-100.47,-92.469,2
-96.933,-54.063,-100.22,-90.276,2
-94.348,-55.872,-99.89,-87.928,2
-92.043,-58.199,-99.615,-85.926,2
-90.795,-60.533,-99.494,-84.655,2
-91.062,-62.496,-99.567,-84.286,2
-92.843,-63.904,-99.799,-84.742,2
-95.673,-64.77,-100.1,-85.753,2
-98.781,-65.229,-100.35,-86.956,2
-101.34,-65.448,-100.47,-88.021,2
-102.72,-65.535,-100.4,-88.741,2
-102.71,-65.511,-100.19,-89.083,2
-101.51,-65.322,-99.908,-89.158,2
-99.696,-64.906,-99.669,-89.147,2
-97.989,-64.264,-99.56,-89.209,2
-96.993,-63.503,-99.619,-89.4,2
-97.001,-62.835,-99.82,-89.646,2
-97.899,-62.509,-100.09,-89.773,2
-99.219,-62.721,-100.31,-89.579,2
-100.3,-63.515,-100.42,-88.934,2
-100.55,-64.732,-100.37,-87.845,2
-99.621,-66.035,-100.17,-86.489,2
-97.576,-66.997,-99.92,-85.165,2
-94.861,-67.24,-99.698,-84.213,2
-92.169,-66.579,-99.594,-83.898,2
-90.227,-65.104,-99.644,-84.321,2
-89.56,-63.189,-99.828,-85.375,2
-90.333,-61.388,-100.08,-86.772,2
-92.301,-60.277,-100.29,-88.132,2
-94.899,-60.26,-100.4,-89.1,2
-97.428,-61.433,-100.35,-89.457,2
-99.269,-63.523,-100.17,-89.188,2
-100.07,-65.96,-99.927,-88.478,2
-99.855,-68.036,-99.71,-87.639,2
-98.946,-69.119,-99.604,-87.005,2
-97.872,-68.85,-99.647,-86.814,2
-97.154,-67.258,-99.825,-87.129,2
-97.129,-64.753,-100.07,-87.822,2
-97.84,-62.008,-100.29,-88.625,2
-99.028,-59.747,-100.4,-89.235,2
-100.24,-58.532,-100.36,-89.416,2
-100.99,-58.594,-100.18,-89.093,2
-100.94,-59.779,-99.932,-88.372,2
-100.02,-61.618,-99.707,-87.505,2
-98.455,-63.491,-99.591,-86.794,2
-96.706,-64.838,-99.63,-86.49,2
-95.312,-65.341,-99.81,-86.694,2
-94.72,-65.02,-100.07,-87.331,2
-95.133,-64.204,-100.3,-88.17,2
-96.445,-63.4,-100.43,-88.911,2
-98.271,-63.101,-100.39,-89.284,2
-100.06,-63.599,-100.2,-89.145,2
-101.26,-64.868,-99.935,-88.516,2
-101.48,-66.558,-99.685,-87.567,2
-100.61,-68.105,-99.549,-86.547,2
-98.814,-68.916,-99.582,-85.689,2
-96.526,-68.568,-99.777,-85.126,2
-94.277,-66.959,-100.06,-84.855,2
-92.57,-64.358,-100.34,-84.755,2
-91.745,-61.333,-100.49,-84.656,2
-91.909,-58.588,-100.46,-84.437,2
-92.926,-56.759,-100.25,-84.091,2
-94.485,-56.228,-99.937,-83.758,2
-96.192,-57.026,-99.629,-83.679,2
-97.68,-58.839,-99.448,-84.105,2
-98.689,-61.113,-99.471,-85.176,2
-99.106,-63.235,-99.701,-86.836,2
-98.955,-64.705,-100.06,-88.805,2
-98.364,-65.267,-100.43,-90.637,2
-97.503,-64.955,-100.65,-91.846,2
-96.538,-64.034,-100.64,-92.078,2
-95.6,-62.891,-100.37,-91.247,2
-94.78,-61.891,-99.935,-89.6,2
-94.136,-61.267,-99.472,-87.678,2
-93.711,-61.071,-99.163,-86.161,2
-93.545,-61.203,-99.149,-85.648,2
-93.67,-61.495,-99.478,-86.444,2
-94.098,-61.817,-100.07,-88.408,2
-94.797,-62.16,-100.76,-90.933,2
-95.675,-62.665,-101.27,-93.068,2
-96.576,-63.583,-101.37,-93.764,2
-97.295,-65.185,-100.9,-92.167,2
-97.61,-67.65,-99.83,-87.882,2
-97.327,-70.976,-98.276,-81.132,2
-96.322,-74.949,-96.493,-72.739,2
-94.573,-79.18,-94.791,-63.959,2
-92.172,-83.201,-93.461,-56.187,4
-89.32,-86.589,-92.693,-50.624,4
-86.291,-89.075,-92.521,-47.999,4
-83.392,-90.608,-92.816,-48.417,4
-80.916,-91.347,-93.314,-51.372,4
-79.088,-91.584,-93.689,-55.915,4
-78.038,-91.643,-93.635,-60.916,4
-77.774,-91.763,-92.943,-65.354,4
-78.185,-92.033,-91.556,-68.54,4
-79.061,-92.374,-89.581,-70.226,4
-80.133,-92.593,-87.264,-70.582,4
-81.119,-92.472,-84.94,-70.061,4
-81.785,-91.87,-82.952,-69.206,4
-81.99,-90.787,-81.593,-68.47,4
-81.719,-89.384,-81.045,-68.097,4
-81.079,-87.939,-81.353,-68.098,4
-80.278,-86.763,-82.431,-68.31,4
-79.562,-86.094,-84.078,-68.503,4
-79.147,-86.024,-86.024,-68.502,4
-79.16,-86.465,-87.979,-68.256,4
-79.588,-87.178,-89.673,-67.853,4
-80.286,-87.851,-90.898,-67.47,4
-81.007,-88.196,-91.535,-67.288,4
-81.483,-88.039,-91.56,-67.409,4
-81.508,-87.367,-91.049,-67.809,4
-81.015,-86.328,-90.152,-68.347,4
-80.11,-85.171,-89.072,-68.826,4
-79.059,-84.168,-88.023,-69.079,4
-78.216,-83.521,-87.196,-69.04,4
-77.926,-83.31,-86.72,-68.782,4
-78.413,-83.477,-86.645,-68.493,4
-79.706,-83.855,-86.932,-68.4,4
-81.608,-84.238,-87.467,-68.679,4
-83.742,-84.449,-88.091,-69.365,4
-85.648,-84.403,-88.635,-70.324,4
-86.902,-84.125,-88.958,-71.282,4
-87.242,-83.735,-88.981,-71.907,4
-86.632,-83.405,-88.696,-71.93,4
-85.276,-83.297,-88.164,-71.244,4
-83.547,-83.511,-87.492,-69.956,4
-81.881,-84.064,-86.806,-68.371,4
-80.644,-84.89,-86.217,-66.899,4
-80.033,-85.874,-85.796,-65.928,4
-80.03,-86.889,-85.567,-65.699,4
-80.425,-87.837,-85.506,-66.221,4
-80.902,-88.665,-85.558,-67.272,4
-81.152,-89.36,-85.659,-68.462,4
-80.987,-89.935,-85.753,-69.366,4
-80.398,-90.392,-85.808,-69.658,4
-79.561,-90.709,-85.824,-69.215,4
-78.772,-90.836,-85.821,-68.152,4
-78.34,-90.71,-85.838,-66.776,4
-78.475,-90.288,-85.915,-65.474,4
-79.209,-89.573,-86.087,-64.58,4
-80.374,-88.641,-86.376,-64.262,4
-81.645,-87.629,-86.785,-64.47,4
-82.642,-86.71,-87.304,-64.967,4
-83.043,-86.054,-87.907,-65.42,4
-82.685,-85.773,-88.558,-65.53,4
-81.616,-85.893,-89.211,-65.154,4
-80.078,-86.342,-89.817,-64.359,4
-78.437,-86.972,-90.328,-63.412,4
-77.071,-87.596,-90.706,-62.691,4
-76.264,-88.048,-90.931,-62.546,4
-76.134,-88.225,-91.002,-63.18,4
-76.606,-88.113,-90.938,-64.56,4
-77.458,-87.79,-90.775,-66.42,4
-78.395,-87.392,-90.553,-68.337,4
-79.145,-87.076,-90.304,-69.857,4
-79.534,-86.969,-90.042,-70.645,4
-79.523,-87.136,-89.763,-70.585,4
-79.2,-87.563,-89.447,-69.812,4
-78.729,-88.168,-89.076,-68.664,4
-78.286,-88.83,-88.648,-67.566,4
-77.996,-89.421,-88.19,-66.89,4
-77.901,-89.84,-87.761,-66.836,4
-77.964,-90.036,-87.441,-67.376,4
-78.094,-90.007,-87.313,-68.273,4
-78.195,-89.794,-87.431,-69.176,4
-78.203,-89.462,-87.801,-69.742,4
-78.109,-89.08,-88.372,-69.757,4
-77.948,-88.705,-89.044,-69.202,4
-77.773,-88.375,-89.699,-68.252,4
-77.625,-88.109,-90.23,-67.206,4
-77.503,-87.915,-90.586,-66.375,4
-77.364,-87.79,-90.78,-65.973,4
-77.147,-87.731,-90.891,-66.05,4
-76.804,-87.734,-91.027,-66.478,4
-76.336,-87.791,-91.282,-67.019,4
-75.812,-87.897,-91.685,-67.417,4
-75.358,-88.043,-92.178,-67.5,4
-75.118,-88.224,-92.611,-67.252,4
-75.206,-88.435,-92.792,-66.811,4
-75.65,-88.671,-92.544,-66.414,4
-76.371,-88.926,-91.78,-66.301,4
-77.197,-89.185,-90.559,-66.61,4
-77.905,-89.417,-89.093,-67.311,4
-78.295,-89.576,-87.711,-68.205,4
-78.256,-89.606,-86.771,-68.988,4
-77.808,-89.457,-86.554,-69.359,4
-77.107,-89.103,-87.167,-69.14,4
-76.396,-88.56,-88.491,-68.352,4
-75.93,-87.896,-90.192,-67.222,4
-75.89,-87.223,-91.802,-66.124,4
-76.323,-86.678,-92.853,-65.445,4
-77.121,-86.384,-93.018,-65.454,4
-78.051,-86.41,-92.218,-66.188,4
-78.835,-86.746,-90.662,-67.425,4
-79.239,-87.29,-88.8,-68.738,4
-79.15,-87.872,-87.189,-69.629,4
-78.619,-88.3,-86.325,-69.696,4
-77.846,-88.417,-86.471,-68.784,4
-77.113,-88.158,-87.556,-67.053,4
-76.697,-87.587,-89.16,-64.963,4
-76.777,-86.895,-90.616,-63.155,4
-77.386,-86.359,-91.181,-62.265,4
-78.398,-86.272,-90.258,-62.744,4
-79.582,-86.864,-87.572,-64.723,4
-80.682,-88.229,-83.273,-67.97,4
-81.501,-90.29,-77.916,-71.967,4
-81.966,-92.806,-72.33,-76.049,4
-82.14,-95.433,-67.406,-79.602,3
-82.188,-97.799,-63.866,-82.223,3
-82.298,-99.602,-62.077,-83.812,3
-82.605,-100.68,-61.972,-84.563,3
-83.123,-101.04,-63.083,-84.867,3
-83.733,-100.83,-64.694,-85.158,3
-84.213,-100.32,-66.05,-85.761,3
-84.321,-99.779,-66.572,-86.787,3
-83.877,-99.424,-66.007,-88.115,3
-82.843,-99.359,-64.475,-89.455,3
-81.342,-99.565,-62.41,-90.473,3
-79.64,-99.927,-60.4,-90.929,3
-78.06,-100.29,-58.999,-90.767,3
-76.893,-100.5,-58.554,-90.149,3
-76.305,-100.5,-59.107,-89.394,3
-76.292,-100.3,-60.389,-88.862,3
-76.69,-99.996,-61.918,-88.824,3
-77.237,-99.704,-63.149,-89.353,3
-77.67,-99.541,-63.64,-90.297,3
-77.81,-99.562,-63.174,-91.323,3
-77.63,-99.754,-61.82,-92.035,3
-77.254,-100.03,-59.888,-92.118,3
-76.908,-100.29,-57.833,-91.453,3
