Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room
-70,-100,-75,-85,1
-66.75,-100,-70.4,-87,1
-67.667,-100,-69.667,-84.5,1
-71.6,-100,-68,-86,1
-78,-100,-69.5,-88,1
-65.2,-100,-68.2,-89,1
-70,-100,-68.75,-89.333,1
-68.6,-100,-68.5,-98,1
-68.4,-100,-68.333,-84.5,1
-78,-100,-64.667,-100,1
-72.4,-100,-74.333,-88.667,1
-76.333,-100,-71.2,-85,1
-72,-100,-77,-84,1
-86,-100,-70.75,-83.75,1
-78.5,-100,-76.667,-89.6,1
-86.25,-100,-74.4,-87.333,1
-72,-100,-76.667,-88,1
-78.5,-100,-70.333,-82.5,1
-75,-100,-68.75,-89.333,1
-79.4,-100,-73.75,-93.333,1
-68.75,-100,-79,-79.5,1
-75.5,-100,-76.5,-100,1
-74.5,-100,-70.667,-94,1
-71.25,-100,-77,-81,1
-74.2,-100,-80.5,-84,1
-73.25,-100,-87,-91,1
-73,-100,-76.75,-87,1
-84,-100,-71,-82,1
-79.2,-100,-75.75,-85.75,1
-81.25,-100,-81,-86.2,1
-71,-100,-75.6,-88,1
-81.667,-100,-73.5,-93,1
-85,-100,-74.5,-86.333,1
-74.4,-100,-69.75,-87,1
-76.5,-100,-70,-87.667,1
-79,-100,-85.5,-87.333,1
-77.4,-100,-73.4,-82.5,1
-79,-100,-71.5,-87.333,1
-77.6,-100,-76.5,-87.5,1
-83.333,-100,-77.5,-90,1
-79.2,-100,-80.25,-86,1
-77,-100,-72.5,-87.333,1
-77.667,-100,-78.8,-89.5,1
-76.2,-100,-78.5,-91.5,1
-66.4,-100,-69.667,-100,1
-61.8,-100,-79.25,-100,1
-56.5,-100,-75.25,-100,1
-72.2,-100,-73.333,-100,1
-78.2,-100,-69.5,-85,1
-76.75,-100,-79,-83.5,1
-78,-100,-67,-100,1
-76.667,-100,-70.25,-85.25,1
-75,-100,-73.4,-91.333,1
-75,-100,-80.286,-96,1
-79.5,-100,-78.667,-87.75,1
-75.5,-100,-71.667,-80,1
-77.8,-100,-80,-88.333,1
-62.5,-100,-93,-87.25,1
-67,-100,-79.5,-87.25,1
-60,-100,-80,-83,1
-62.5,-100,-100,-84,1
-67,-100,-87,-84.5,1
-69.4,-100,-86.5,-88.5,1
-65.667,-100,-85.25,-87.75,1
-65.5,-100,-80.667,-91.5,1
-68,-100,-89.25,-86.25,1
-72,-100,-83,-96.5,1
-69.667,-100,-74,-91.5,1
-74.6,-100,-80.25,-93,1
-71.8,-100,-75.4,-96.5,1
-73,-100,-79.6,-96,1
-77.333,-100,-84.5,-86,1
-78.333,-100,-88.5,-100,1
-71.667,-100,-87,-85,1
-71.75,-100,-77,-85.667,1
-75.667,-100,-84,-100,1
-76,-100,-86.333,-100,1
-81,-100,-85.25,-100,1
-81,-100,-90,-100,1
-74,-100,-80.5,-100,1
-85,-100,-81,-100,1
-76.333,-100,-68.333,-95,1
-74.8,-100,-72.333,-85.667,1
-70.5,-100,-71.2,-85.25,1
-71,-100,-69.2,-88,1
-68.25,-100,-75,-84,1
-75.5,-100,-75.333,-85.333,1
-73.333,-100,-71.667,-85.75,1
-73.4,-100,-71.333,-83.4,1
-71.25,-100,-72.5,-84,1
-73.333,-100,-65.75,-85,1
-79.25,-100,-74.5,-83,1
-76.333,-100,-70.333,-82.333,1
-68,-100,-69.75,-82.5,1
-69.75,-100,-75,-85,1
-75.667,-100,-76.75,-89,1
-75.8,-100,-74,-82.75,1
-72.5,-100,-80.5,-91,1
-76.8,-100,-71.75,-83.8,1
-71.25,-100,-71,-84.333,1
-70.75,-100,-76.333,-86.5,1
-74,-100,-74,-83.667,1
-66,-100,-73.5,-80.8,1
-75.5,-100,-72.8,-84.5,1
-80.6,-100,-73.5,-80,1
-75,-100,-66,-89.5,1
-78.25,-100,-82.667,-80.5,1
-77,-100,-67.667,-81.25,1
-67,-100,-74.8,-80.8,1
-73,-100,-75,-77.2,1
-79.5,-100,-72.333,-77.75,1
-80.5,-100,-71.5,-82,1
-79,-100,-70.2,-72.333,1
-70.25,-100,-73.6,-81.75,1
-80.25,-100,-67,-78,1
-75.75,-100,-71.5,-79.6,1
-68.25,-100,-70.75,-82.75,1
-72.5,-100,-70.5,-81.75,1
-63,-100,-73,-82,1
-69,-100,-76.6,-82.75,1
-67.8,-100,-73.4,-80,1
-100,-27,-100,-99,2
-100,-37,-100,-98,2
-100,-33.5,-100,-100,2
-100,-31,-100,-100,2
-100,-44,-100,-100,2
-100,-64.4,-100,-97,2
-100,-71.8,-100,-94,2
-100,-70.25,-100,-88.667,2
-99,-69,-100,-91.5,2
-100,-63.5,-100,-79,2
-100,-65,-100,-90.5,2
-100,-71.2,-100,-89,2
-100,-79.8,-100,-82.667,2
-100,-74.8,-100,-88,2
-100,-72,-100,-85.5,2
-100,-70.2,-100,-92,2
-100,-64.8,-100,-99,2
-100,-67.75,-100,-92.333,2
-100,-68.75,-100,-93.333,2
-100,-73.25,-100,-100,2
-100,-68,-100,-100,2
-100,-80.667,-100,-90,2
-100,-72,-100,-84,2
-100,-75.4,-100,-91.5,2
-100,-69.2,-100,-85,2
-100,-80.4,-100,-89.333,2
-86,-76.5,-100,-91,2
-100,-79.25,-100,-82,2
-100,-69.333,-100,-81,2
-100,-69.333,-100,-85.5,2
-100,-80.667,-100,-82,2
-100,-75.5,-100,-86.75,2
-100,-74.8,-100,-81.5,2
-100,-81.2,-100,-81.667,2
-100,-65,-100,-84,2
-100,-72.25,-100,-100,2
-100,-71.25,-100,-100,2
-100,-75.333,-100,-100,2
-100,-65,-100,-100,2
-100,-71.8,-100,-100,2
-100,-65,-100,-100,2
-100,-67.6,-100,-100,2
-100,-80.75,-100,-98,2
-100,-71,-100,-100,2
-100,-70,-100,-100,2
-100,-73.4,-100,-100,2
-100,-73.5,-100,-100,2
-100,-78.2,-100,-100,2
-100,-76.4,-100,-88,2
-100,-59.5,-100,-100,2
-93,-62,-100,-86,2
-100,-69.25,-100,-100,2
-100,-64,-100,-85,2
-100,-75.5,-100,-85,2
-100,-74.333,-100,-76,2
-100,-72.667,-100,-86,2
-100,-82.2,-100,-100,2
-100,-68.667,-100,-100,2
-100,-64.8,-100,-86,2
-100,-73.5,-100,-92,2
-100,-79.8,-100,-100,2
-100,-76.75,-100,-87,2
-100,-69.25,-100,-100,2
-100,-62.4,-100,-100,2
-90,-72.75,-100,-91,2
-83.5,-76,-100,-91.667,2
-98,-67.4,-100,-86,2
-88,-57.333,-100,-85,2
-100,-62,-100,-85,2
-100,-62.8,-100,-100,2
-100,-72.8,-100,-89,2
-100,-73.6,-100,-84,2
-100,-70.5,-100,-90,2
-100,-69.75,-100,-100,2
-100,-65.667,-100,-100,2
-100,-58,-100,-88,2
-100,-65.5,-100,-100,2
-100,-61.5,-100,-100,2
-100,-54.5,-100,-100,2
-100,-52.25,-100,-100,2
-100,-55.75,-100,-91,2
-100,-62,-100,-92,2
-100,-66.75,-100,-88.333,2
-100,-69,-100,-84,2
-100,-79,-100,-89,2
-100,-76,-100,-88,2
-95.5,-68.167,-100,-85,2
-90,-71,-100,-91.667,2
-100,-67.25,-100,-100,2
-100,-74.2,-100,-81,2
-100,-77.75,-100,-80.5,2
-101,-77.667,-100,-86,2
-100,-66.75,-100,-87,2
-100,-58,-100,-97,2
-89,-61.4,-100,-88,2
-100,-65.8,-100,-99,2
-100,-63.667,-100,-100,2
-100,-57.4,-100,-92.5,2
-100,-64.25,-100,-90.5,2
-100,-76.333,-100,-102,2
-100,-66.6,-100,-100,2
-100,-72.25,-100,-93.667,2
-100,-70.75,-100,-87,2
-100,-67.5,-100,-85.5,2
-100,-75.8,-100,-100,2
-100,-78.2,-100,-100,2
-100,-81.25,-100,-100,2
-88,-85.333,-100,-87,2
-100,-76.25,-100,-90.75,2
-100,-80.2,-100,-92.5,2
-100,-67.2,-100,-100,2
-100,-68.333,-100,-100,2
-100,-72.667,-100,-100,2
-100,-65.6,-100,-100,2
-100,-63.25,-100,-100,2
-100,-66.667,-100,-100,2
-100,-67,-100,-90,2
-100,-64.4,-100,-100,2
-100,-55.25,-100,-100,2
-100,-66.25,-100,-100,2
-100,-77.75,-100,-94,2
-100,-90.5,-100,-23.6,4
-100,-87,-100,-27,4
-100,-91.667,-100,-22,4
-100,-90,-100,-26,4
-100,-90,-100,-17.5,4
-100,-89.5,-100,-19.25,4
-100,-100,-100,-22.333,4
-100,-92,-100,-31.333,4
-92,-86,-100,-36,4
-94,-88,-100,-42.25,4
-95,-75,-87,-47.333,4
-89.25,-86,-88,-71.75,4
-86.2,-89,-91,-71,4
-79,-88.667,-90,-73.6,4
-88,-91,-100,-67.5,4
-84.4,-86,-100,-62.75,4
-84.5,-93,-84.5,-64.6,4
-78,-90,-89.667,-68.667,4
-83.5,-96.5,-91,-68.75,4
-86,-94.5,-100,-68.25,4
-89,-87.5,-92,-55.75,4
-100,-87.667,-100,-64.75,4
-96,-87,-100,-69,4
-90.25,-84,-98,-70,4
-96.75,-82.75,-91,-64.833,4
-91.667,-82.333,-97,-68.6,4
-87.5,-84.2,-100,-66.8,4
-90.333,-81.75,-100,-71,4
-85,-91.333,-92,-64.6,4
-103,-89,-85,-66.25,4
-87,-100,-100,-65.667,4
-100,-86,-100,-60.25,4
-100,-90,-100,-63.8,4
-100,-100,-100,-65,4
-90,-100,-100,-61.5,4
-100,-100,-100,-54.667,4
-100,-100,-100,-62.75,4
-100,-100,-100,-60,4
-100,-90,-100,-70,4
-100,-100,-100,-59.333,4
-89,-100,-89,-61.6,4
-100,-100,-100,-65.5,4
-100,-93,-100,-57,4
-89,-100,-100,-53.75,4
-100,-100,-100,-54.25,4
-86,-100,-100,-54.2,4
-100,-100,-100,-54.75,4
-100,-100,-100,-55.4,4
-100,-94,-100,-62.5,4
-100,-100,-100,-54.333,4
-88,-100,-100,-53,4
-100,-100,-100,-55.2,4
-92.5,-100,-100,-56,4
-88,-94,-100,-58,4
-100,-100,-100,-51.75,4
-100,-100,-100,-54,4
-100,-90,-100,-52.75,4
-100,-100,-100,-52.5,4
-100,-100,-100,-52.25,4
-100,-100,-100,-52,4
-91,-100,-100,-61.6,4
-87.333,-100,-100,-64,4
-91.667,-100,-101,-59.667,4
-88,-100,-90,-66.4,4
-86.5,-100,-100,-67.5,4
-87,-100,-100,-59.4,4
-102,-100,-100,-70.333,4
-92.2,-100,-97,-62.667,4
-100,-100,-86,-65.2,4
-87,-100,-100,-63.8,4
-100,-100,-100,-69.6,4
-100,-100,-95,-77.25,4
-100,-100,-88,-74.5,4
-100,-100,-77,-64.5,4
-100,-100,-100,-63.25,4
-100,-100,-100,-65.5,4
-100,-100,-100,-62.833,4
-100,-100,-100,-62.8,4
-100,-100,-100,-59.4,4
-100,-100,-100,-58.667,4
-100,-100,-100,-61.333,4
-100,-100,-100,-62.8,4
-100,-100,-100,-61,4
-100,-100,-100,-57,4
-100,-100,-100,-59.25,4
-100,-100,-100,-65,4
-100,-100,-100,-62.2,4
-100,-100,-100,-58.333,4
-100,-100,-100,-65.5,4
-100,-100,-100,-61.5,4
-99,-100,-100,-63.8,4
-95.5,-100,-100,-64.667,4
-100,-100,-100,-61.6,4
-100,-100,-100,-62,4
-90.2,-100,-100,-65.75,4
-94.5,-100,-101,-67.667,4
-100,-90,-100,-58.167,4
-100,-100,-100,-63.25,4
-102,-100,-100,-57,4
-88,-100,-100,-63.8,4
-102,-100,-100,-64,4
-100,-100,-100,-68,4
-100,-100,-100,-61.75,4
-95,-100,-100,-66,4
-101,-100,-100,-65.25,4
-100,-100,-100,-62.4,4
-100,-100,-100,-63.333,4
-92,-100,-100,-70.5,4
-100,-100,-100,-64.4,4
-100,-100,-100,-65.25,4
-100,-100,-100,-65.75,4
-100,-100,-100,-60,4
-94.5,-100,-100,-55,4
-100,-100,-100,-69.25,4
-100,-100,-100,-62.4,4
-100,-100,-100,-63.2,4
-91,-100,-100,-65.8,4
-100,-100,-100,-67.333,4
-100,-100,-100,-65,4
-100,-100,-92,-62.667,4
-101,-100,-100,-65,4
-74.667,-100,-29.5,-97,3
-81.25,-100,-45.6,-87,3
-82.5,-100,-37,-97,3
-80,-100,-45,-83.5,3
-70.6,-100,-69.2,-86,3
-79.75,-100,-77,-100,3
-82.667,-100,-67.8,-100,3
-81.667,-100,-69,-100,3
-86,-100,-65.667,-88,3
-81,-100,-78.8,-100,3
-88,-100,-74.75,-87,3
-87.75,-100,-73.667,-100,3
-89.75,-100,-78.2,-100,3
-85,-100,-72,-93.5,3
-90,-100,-75.2,-90,3
-84.2,-100,-75.333,-100,3
-89,-100,-72,-92.667,3
-86.75,-100,-70.333,-92.5,3
-83.5,-100,-72,-83,3
-79.25,-100,-70.5,-95.75,3
-83.2,-100,-69,-84,3
-82.4,-100,-72.4,-85,3
-84.75,-100,-73.25,-92.5,3
-87,-100,-75,-98,3
-89.25,-100,-70.8,-92,3
-85.25,-100,-68.333,-91.5,3
-80.333,-100,-75.8,-100.5,3
-87,-100,-74,-94.667,3
-83,-100,-69.5,-90.5,3
-82.333,-100,-80,-100,3
-91.333,-100,-74,-92,3
-84,-100,-66.2,-89.25,3
-83,-100,-76.5,-85,3
-87,-100,-70.75,-82,3
