Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room
-100,-100,-87,-51,4
-100,-100,-91,-55,4
-100,-100,-100,-51.5,4
-100,-100,-100,-48.5,4
-100,-100,-100,-49,4
-95,-89,-88,-51.25,4
-87,-90,-86,-52,4
-100,-100,-96,-59.5,4
-100,-100,-97,-59.333,4
-100,-100,-86,-59.5,4
-100,-100,-98,-49.5,4
-100,-100,-99,-56.333,4
-101,-98,-86,-50,4
-99,-94,-100,-49.25,4
-100,-94,-100,-53.4,4
-100,-89,-100,-50.75,4
-100,-98,-100,-47.2,4
-100,-87,-100,-48,4
-100,-87.667,-100,-47.6,4
-100,-92,-100,-51.5,4
-100,-86.5,-100,-46,4
-100,-88,-100,-49.75,4
-100,-91,-100,-47,4
-91,-89,-100,-42,4
-100,-100,-100,-51,4
-100,-93,-100,-43.5,4
-100,-100,-100,-47.4,4
-100,-100,-100,-47.75,4
-100,-100,-100,-45.667,4
-100,-100,-100,-50.2,4
-88,-100,-100,-43,4
-100,-100,-100,-47,4
-100,-100,-100,-48,4
-100,-100,-100,-44,4
-100,-100,-100,-48,4
-100,-100,-100,-48.25,4
-100,-100,-100,-49.5,4
-100,-100,-100,-42.5,4
-100,-92,-100,-48.667,4
-100,-100,-100,-44,4
-100,-100,-100,-32.4,4
-100,-100,-100,-26.5,4
-100,-100,-100,-21.5,4
-100,-100,-100,-22.5,4
-100,-100,-100,-33.25,4
-100,-100,-100,-31,4
-100,-100,-100,-38,4
-100,-100,-100,-22.333,4
-100,-100,-100,-26.4,4
-100,-100,-100,-21.333,4
-100,-100,-100,-23.5,4
-100,-100,-100,-28.333,4
-100,-100,-100,-31.6,4
-84,-100,-53.5,-90.75,3
-84.25,-100,-55.5,-100,3
-89,-100,-59,-100,3
-86.75,-100,-55.5,-100,3
-92.667,-100,-55.25,-100,3
-86.4,-100,-58.75,-100,3
-89.667,-100,-54.5,-100,3
-100,-100,-61,-100,3
-81.5,-100,-55.25,-100,3
-84,-100,-55.8,-100,3
-93.5,-100,-57,-100,3
-85.75,-100,-58,-100,3
-91.667,-100,-57.75,-100,3
-88.5,-100,-56.8,-100,3
-91.667,-100,-56.167,-100,3
-90.667,-100,-63.25,-100,3
-84.2,-100,-54.4,-100,3
-85.5,-100,-61.333,-100,3
-85.5,-100,-55.5,-100,3
-91.75,-100,-54.75,-100,3
-87,-100,-59.25,-100,3
-89,-100,-58.75,-100,3
-82.8,-100,-56.25,-100,3
-82,-100,-58.2,-87,3
-90.2,-100,-60.333,-92,3
-90,-100,-56.25,-100,3
-92.333,-100,-51.667,-100,3
-87.6,-100,-56,-100,3
-87.5,-100,-59,-100,3
-82,-100,-57.333,-100,3
-80,-100,-62.75,-100,3
-93.667,-100,-51.5,-100,3
-88,-100,-61.333,-100,3
-86.5,-100,-58.333,-100,3
-85,-100,-62,-100,3
-89.25,-100,-58,-85.5,3
-79,-100,-63,-85,3
-81.75,-100,-65,-96,3
-83.333,-100,-57.5,-100,3
-77.4,-100,-53.8,-100,3
-75,-100,-55.25,-100,3
-85,-100,-61,-100,3
-90.333,-100,-55.833,-100,3
-85,-100,-57.6,-100,3
-78.75,-100,-56.6,-100,3
-72,-100,-52.2,-100,3
-79,-100,-55.25,-88,3
-87.5,-100,-67.5,-100,3
-84,-100,-60.8,-100,3
-78.2,-100,-56,-100,3
-86,-100,-50,-100,3
-88,-100,-57,-89,3
