timestamp,gateway,mean_x,mean_y,mean_z,mean_rssi,localisation,activity
2017-08-07 13:37:31,living,-0.179166666667,0.53125,0.841666666667,-85.0,living,sitting
2017-08-07 13:37:31,bedroom,-0.1765625,0.53125,0.840625,-77.5,living,sitting
2017-08-07 13:37:31,custom,-0.1875,0.53125,0.8375,-92.0,living,sitting
2017-08-07 13:37:32,living,-0.177083333333,0.533333333333,0.83125,-83.3333333333,living,sitting
2017-08-07 13:37:32,bedroom,-0.172916666667,0.533333333333,0.83125,-85.3333333333,living,sitting
2017-08-07 13:37:32,custom,-0.175,0.53125,0.83125,-84.3333333333,living,sitting
2017-08-07 13:37:33,living,-0.179166666667,0.5375,0.83125,-79.6666666667,living,sitting
2017-08-07 13:37:33,bedroom,-0.178125,0.534375,0.828125,-73.5,living,sitting
2017-08-07 13:37:33,custom,-0.18125,0.535416666667,0.829166666667,-85.0,living,sitting
2017-08-07 13:37:34,custom,-0.170833333333,0.535416666667,0.833333333333,-87.6666666667,living,sitting
2017-08-07 13:37:34,living,-0.179166666667,0.535416666667,0.833333333333,-87.6666666667,living,sitting
2017-08-07 13:37:34,bedroom,-0.1765625,0.534375,0.83125,-81.25,living,sitting
2017-08-07 13:37:35,living,-0.17125,0.5325,0.825,-89.0,living,sitting
2017-08-07 13:37:35,bedroom,-0.175,0.5325,0.8275,-78.8,living,sitting
2017-08-07 13:37:35,custom,-0.165625,0.534375,0.821875,-80.5,living,sitting
2017-08-07 13:37:36,living,-0.1734375,0.5390625,0.8375,-78.0,living,sitting
2017-08-07 13:37:36,bedroom,-0.177083333333,0.5375,0.839583333333,-86.6666666667,living,sitting
2017-08-07 13:37:36,custom,-0.16875,0.54375,0.84375,-92.0,living,sitting
2017-08-07 13:37:37,living,-0.170833333333,0.533333333333,0.83125,-79.3333333333,living,sitting
2017-08-07 13:37:37,bedroom,-0.172916666667,0.541666666667,0.833333333333,-74.6666666667,living,sitting
2017-08-07 13:37:37,custom,-0.18125,0.5375,0.83125,-78.5,living,sitting
2017-08-07 13:37:38,bedroom,-0.175,0.5375,0.83125,-78.0,living,sitting
2017-08-07 13:37:38,living,-0.18125,0.53125,0.8375,-80.0,living,sitting
2017-08-07 13:37:39,custom,-0.177083333333,0.533333333333,0.827083333333,-89.0,living,sitting
2017-08-07 13:37:39,living,-0.178125,0.534375,0.828125,-84.75,living,sitting
2017-08-07 13:37:39,bedroom,-0.179166666667,0.535416666667,0.829166666667,-83.3333333333,living,sitting
2017-08-07 13:37:40,living,-0.175,0.5359375,0.8296875,-82.75,living,sitting
2017-08-07 13:37:40,bedroom,-0.18125,0.540625,0.8375,-69.0,living,sitting
2017-08-07 13:37:40,custom,-0.171875,0.5375,0.834375,-91.5,living,sitting
2017-08-07 13:37:41,living,-0.177083333333,0.539583333333,0.83125,-76.0,living,sitting
2017-08-07 13:37:41,bedroom,-0.1875,0.5375,0.825,-85.0,living,sitting
2017-08-07 13:37:41,custom,-0.1625,0.5375,0.83125,-77.0,living,sitting
2017-08-07 13:37:42,custom,-0.1625,0.5375,0.828125,-93.0,living,sitting
2017-08-07 13:37:42,living,-0.164583333333,0.5375,0.83125,-78.0,living,sitting
2017-08-07 13:37:42,bedroom,-0.170833333333,0.539583333333,0.829166666667,-79.3333333333,living,sitting
2017-08-07 13:37:43,custom,-0.178125,0.5375,0.828125,-85.0,living,sitting
2017-08-07 13:37:43,bedroom,-0.178125,0.5375,0.828125,-76.5,living,sitting
2017-08-07 13:37:43,living,-0.1703125,0.5359375,0.8296875,-72.75,living,sitting
2017-08-07 13:37:44,living,-0.17,0.5475,0.85625,-78.0,living,sitting
2017-08-07 13:37:44,bedroom,-0.166666666667,0.55,0.872916666667,-79.0,living,sitting
2017-08-07 13:37:44,custom,-0.159375,0.55625,0.8875,-86.0,living,sitting
2017-08-07 13:37:45,custom,-0.54375,0.875,0.3875,-91.0,living,sitting
2017-08-07 13:37:45,living,-0.4828125,0.7796875,0.0640625,-70.25,living,sitting
2017-08-07 13:37:45,bedroom,-0.427083333333,0.7375,-0.108333333333,-82.6666666667,living,sitting
2017-08-07 13:37:46,bedroom,-0.26875,0.43875,0.7625,-77.0,living,sitting
2017-08-07 13:37:46,custom,-0.2375,0.35,0.90625,-84.0,living,sitting
2017-08-07 13:37:46,living,-0.3375,0.4453125,0.7265625,-71.25,living,sitting
2017-08-07 13:37:47,bedroom,-0.403125,0.29375,0.9328125,-78.25,living,sitting
2017-08-07 13:37:47,custom,-0.36875,0.34375,0.928125,-86.5,living,sitting
2017-08-07 13:37:47,living,-0.308333333333,0.445833333333,0.783333333333,-73.0,living,sitting
2017-08-07 13:37:48,custom,-0.29125,0.42625,0.835,-87.6,living,sitting
2017-08-07 13:37:48,living,-0.27875,0.3625,0.80125,-67.8,living,sitting
2017-08-07 13:37:48,bedroom,-0.322916666667,0.385416666667,0.73125,-77.6666666667,living,sitting
2017-08-07 13:37:49,living,-0.40625,0.552083333333,0.8625,-64.3333333333,living,sitting
2017-08-07 13:37:49,bedroom,-0.409375,0.340625,0.7390625,-74.25,living,sitting
2017-08-07 13:37:49,custom,-0.35,0.265625,0.715625,-80.0,living,sitting
2017-08-07 13:37:50,living,-0.190625,0.34375,0.91875,-74.75,living,sitting
2017-08-07 13:37:50,bedroom,-0.228125,0.259375,0.79375,-89.0,living,sitting
2017-08-07 13:37:50,custom,-0.228125,0.259375,0.79375,-77.5,living,sitting
2017-08-07 13:37:51,living,-0.128125,0.46875,0.878125,-72.0,living,sitting
2017-08-07 13:37:51,bedroom,-0.128125,0.465625,0.878125,-78.5,living,sitting
2017-08-07 13:37:51,custom,-0.175,0.475,0.95625,-88.5,living,sitting
2017-08-07 13:37:52,living,0.01375,0.175,0.87125,-59.0,living,sitting
2017-08-07 13:37:52,bedroom,-0.0890625,0.2828125,0.8546875,-79.75,living,sitting
2017-08-07 13:37:52,custom,-0.36875,0.68125,0.7,-98.0,living,sitting
2017-08-07 13:37:53,custom,0.29375,-0.35625,0.95625,-98.0,living,sitting
2017-08-07 13:37:53,living,0.2890625,-0.3203125,0.9171875,-53.75,living,sitting
2017-08-07 13:37:53,bedroom,0.289583333333,-0.3,0.922916666667,-78.6666666667,living,sitting
2017-08-07 13:37:54,living,-0.0296875,-0.0625,0.925,-71.75,living,sitting
2017-08-07 13:37:54,bedroom,-0.2890625,0.115625,0.8359375,-79.25,living,sitting
2017-08-07 13:37:54,custom,-0.495833333333,0.25625,0.80625,-93.3333333333,living,sitting
2017-08-07 13:37:55,living,-0.5125,0.2421875,0.8671875,-66.0,living,sitting
2017-08-07 13:37:55,bedroom,-0.496875,0.271875,0.8375,-81.0,living,sitting
2017-08-07 13:37:55,custom,-0.495833333333,0.270833333333,0.847916666667,-83.6666666667,living,sitting
2017-08-07 13:37:56,living,-0.309375,0.5625,0.775,-60.5,living,sitting
2017-08-07 13:37:56,custom,-0.490625,0.70625,0.5875,-81.5,living,sitting
2017-08-07 13:37:57,bedroom,-0.2875,0.5015625,0.7953125,-82.5,living,sitting
2017-08-07 13:37:57,living,-0.308333333333,0.527083333333,0.785416666667,-62.6666666667,living,sitting
2017-08-07 13:37:58,custom,-0.43125,0.6,0.39375,-89.0,living,sitting
2017-08-07 13:37:58,bedroom,-0.404166666667,0.7125,0.577083333333,-74.0,living,sitting
2017-08-07 13:37:58,living,-0.09375,0.421875,0.6328125,-64.75,living,sitting
2017-08-07 13:37:59,living,0.41875,-0.36875,0.890625,-59.0,living,sitting
2017-08-07 13:37:59,bedroom,0.459375,-0.3375,0.80625,-70.0,living,sitting
2017-08-07 13:37:59,custom,0.39375,-0.325,0.897916666667,-92.6666666667,living,sitting
2017-08-07 13:38:00,living,0.39375,-0.1725,0.87625,-60.2,living,sitting
2017-08-07 13:38:00,bedroom,0.38125,-0.125,0.8859375,-72.5,living,sitting
2017-08-07 13:38:00,custom,0.415625,-0.153125,0.890625,-85.0,living,sitting
2017-08-07 13:38:01,living,-0.190625,0.39375,0.7859375,-76.75,living,sitting
2017-08-07 13:38:01,bedroom,0.0171875,0.29375,0.753125,-66.0,living,sitting
2017-08-07 13:38:01,custom,0.0583333333333,0.252083333333,0.697916666667,-85.0,living,sitting
2017-08-07 13:38:02,living,-0.165625,0.49375,0.875,-74.0,living,sitting
2017-08-07 13:38:02,bedroom,-0.1625,0.53125,0.85625,-68.0,living,sitting
2017-08-07 13:38:02,custom,-0.165625,0.49375,0.875,-87.25,living,sitting
2017-08-07 13:38:03,custom,-0.145833333333,0.510416666667,0.854166666667,-89.3333333333,living,sitting
2017-08-07 13:38:03,living,-0.145833333333,0.510416666667,0.854166666667,-70.6666666667,living,sitting
2017-08-07 13:38:03,bedroom,-0.15625,0.514583333333,0.85,-76.6666666667,living,sitting
2017-08-07 13:38:04,living,-0.128125,0.48125,0.875,-76.5,living,sitting
2017-08-07 13:38:04,bedroom,-0.125,0.478125,0.875,-75.5,living,sitting
2017-08-07 13:38:04,custom,-0.15625,0.50625,0.85625,-78.0,living,sitting
2017-08-07 13:38:05,living,-0.1203125,0.48125,0.8765625,-72.75,living,sitting
2017-08-07 13:38:05,bedroom,-0.12,0.47625,0.87875,-80.0,living,sitting
2017-08-07 13:38:05,custom,-0.1203125,0.48125,0.8765625,-81.0,living,sitting
2017-08-07 13:38:06,living,-0.11875,0.4875,0.875,-64.5,living,sitting
2017-08-07 13:38:06,bedroom,-0.122916666667,0.485416666667,0.875,-72.0,living,sitting
2017-08-07 13:38:06,custom,-0.121875,0.484375,0.875,-93.0,living,sitting
2017-08-07 13:38:07,custom,-0.125,0.496875,0.875,-87.0,living,sitting
2017-08-07 13:38:07,bedroom,-0.125,0.490625,0.875,-74.5,living,sitting
2017-08-07 13:38:07,living,-0.125,0.5,0.875,-77.0,living,sitting
2017-08-07 13:38:08,living,-0.145,0.4925,0.87,-71.4,living,sitting
2017-08-07 13:38:08,bedroom,-0.141666666667,0.49375,0.86875,-72.0,living,sitting
2017-08-07 13:38:08,custom,-0.1453125,0.4921875,0.8703125,-86.75,living,sitting
2017-08-07 13:38:09,living,-0.154166666667,0.5,0.85625,-69.3333333333,living,sitting
2017-08-07 13:38:09,bedroom,-0.158333333333,0.502083333333,0.85,-71.6666666667,living,sitting
2017-08-07 13:38:09,custom,-0.15,0.496875,0.85,-88.0,living,sitting
2017-08-07 13:38:10,living,-0.15375,0.5225,0.84625,-75.4,living,sitting
2017-08-07 13:38:10,bedroom,-0.15625,0.521875,0.84375,-75.0,living,sitting
2017-08-07 13:38:10,custom,-0.152083333333,0.520833333333,0.845833333333,-86.0,living,sitting
2017-08-07 13:38:11,living,-0.15625,0.520833333333,0.845833333333,-79.0,living,sitting
2017-08-07 13:38:11,bedroom,-0.15625,0.51875,0.840625,-75.5,living,sitting
2017-08-07 13:38:11,custom,-0.15625,0.51875,0.840625,-78.0,living,sitting
2017-08-07 13:38:12,custom,-0.160416666667,0.583333333333,0.920833333333,-82.0,living,sitting
2017-08-07 13:38:12,living,-0.159375,0.5703125,0.9,-69.0,living,sitting
2017-08-07 13:38:12,bedroom,-0.159375,0.56875,0.903125,-84.25,living,sitting
2017-08-07 13:38:13,living,-0.53125,-0.3984375,0.6890625,-65.75,living,sitting
2017-08-07 13:38:13,bedroom,-0.539583333333,-0.4,0.695833333333,-74.6666666667,living,sitting
2017-08-07 13:38:13,custom,-0.416666666667,-0.20625,0.75625,-76.0,living,sitting
2017-08-07 13:38:14,living,-0.346875,-0.0296875,0.9,-61.75,living,sitting
2017-08-07 13:38:14,bedroom,-0.35,-0.0479166666667,0.908333333333,-73.3333333333,living,sitting
2017-08-07 13:38:14,custom,-0.34375,-0.0625,0.91875,-84.3333333333,living,sitting
2017-08-07 13:38:15,custom,-0.38125,0.1375,0.725,-84.5,living,sitting
2017-08-07 13:38:15,living,-0.333333333333,0.2875,0.85,-79.3333333333,living,sitting
2017-08-07 13:38:15,bedroom,-0.214583333333,0.583333333333,0.75625,-77.0,living,sitting
2017-08-07 13:38:16,custom,-0.1234375,0.6828125,0.715625,-89.5,living,sitting
