Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room,AccX,AccY,AccZ
-99.776,-70.497,-99.524,-85.867,2,1.0052,-0.088542,-0.0875
-100.21,-71.536,-99.656,-86.05,2,0.95583,-0.24542,-0.12958
-100.77,-72.143,-99.917,-86.568,2,0.99167,-0.13073,-0.059115
-101.2,-72.17,-100.21,-87.391,2,0.93646,-0.18229,-0.16979
-101.25,-71.552,-100.42,-88.421,2,0.95156,-0.17656,-0.10625
-100.77,-70.333,-100.48,-89.505,2,0.89437,-0.30542,-0.053542
-99.8,-68.665,-100.35,-90.469,2,-0.80656,0.0065625,0.56969
-98.56,-66.8,-100.09,-91.148,2,-0.041667,-0.0875,0.21667
-97.4,-65.041,-99.792,-91.422,2,1.1161,-0.14236,0.0067708
-96.684,-63.687,-99.568,-91.243,2,-0.032292,-0.51417,-0.00020833
-96.664,-62.972,-99.506,-90.646,2,0.26432,-0.48958,-0.052865
-97.386,-63.004,-99.632,-89.75,2,1.1104,-0.32188,0.051042
-98.665,-63.736,-99.903,-88.737,2,0.96354,-0.28021,-0.11042
-100.13,-64.968,-100.22,-87.811,2,1.005,-0.17125,-0.0175
-101.34,-66.382,-100.46,-87.153,2,0.96042,-0.2125,-0.027083
-101.95,-67.62,-100.53,-86.873,2,0.70156,-0.46797,-0.24141
-101.79,-68.371,-100.39,-86.974,2,0.28516,-0.70156,-0.51328
-100.96,-68.45,-100.1,-87.346,2,0.03125,-0.77969,-0.48828
-99.761,-67.858,-99.748,-87.792,2,0.096875,-0.76875,-0.49281
-98.615,-66.784,-99.483,-88.083,2,0.099219,-0.70859,-0.53828
-97.89,-65.558,-99.409,-88.031,2,0.91187,-0.185,-0.0625
-97.775,-64.562,-99.57,-87.562,2,1.0281,-0.096875,-0.1
-98.208,-64.116,-99.917,-86.757,2,0.97922,-0.1025,-0.13328
-98.906,-64.375,-100.33,-85.852,2,0.99219,-0.195,-0.10281
-99.469,-65.273,-100.64,-85.179,2,0.95651,-0.17812,-0.069531
-99.554,-66.522,-100.72,-85.074,2,0.99,-0.16375,-0.0975
-99.02,-67.683,-100.5,-85.762,2,0.94063,-0.23438,-0.10938
-98.015,-68.29,-100.04,-87.265,2,1.01,-0.16354,-0.13312
-96.944,-67.988,-99.49,-89.363,2,0.92917,-0.11979,-0.13854
-96.33,-66.656,-99.078,-91.623,2,0.98906,-0.15531,-0.13219
-96.602,-64.474,-99.003,-93.507,2,1.0034,-0.18656,-0.073125
