Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room,AccX,AccY,AccZ
-67.372,-99.724,-71.513,-89.722,1,0.11115,-0.17104,-0.48781
-63.92,-100.15,-74.28,-88.965,1,0.30868,-0.72292,0.40799
-61.479,-100.53,-76.196,-88.803,1,0.96229,-0.084792,-0.32062
-60.208,-100.72,-77.247,-89.216,1,0.94906,-0.39313,0.27625
-59.987,-100.63,-77.586,-90.076,1,-0.032917,-0.011979,0.67729
-60.466,-100.31,-77.463,-91.2,1,-0.030729,-0.44583,0.91927
-61.183,-99.872,-77.155,-92.408,1,-0.026042,-0.58924,0.86701
-61.705,-99.471,-76.9,-93.572,1,-0.33063,-0.60234,0.45188
-61.757,-99.262,-76.863,-94.636,1,-0.088021,-0.91068,0.18854
-61.293,-99.326,-77.128,-95.609,1,-0.10052,-0.91927,0.15729
-60.488,-99.644,-77.71,-96.54,1,-0.2033,-0.83719,0.30507
-59.661,-100.1,-78.574,-97.471,1,-0.0033333,-0.43063,0.81812
-59.146,-100.52,-79.656,-98.406,1,0.1875,-0.47396,0.87396
-59.168,-100.76,-80.866,-99.295,1,0.1875,-0.47344,0.875
-59.758,-100.71,-82.095,-100.05,1,0.1875,-0.47042,0.87333
-60.738,-100.4,-83.219,-100.56,1,-0.010417,-0.70729,0.40625
-61.777,-99.932,-84.104,-100.77,1,0.20125,-0.555,0.8525
-62.507,-99.481,-84.628,-100.65,1,0.18438,-0.53125,0.84271
-62.648,-99.217,-84.711,-100.3,1,0.19672,-0.52219,0.83734
-62.106,-99.241,-84.34,-99.852,1,0.19687,-0.50625,0.84609
-61.01,-99.551,-83.584,-99.462,1,0.1875,-0.50375,0.84375
-59.672,-100.03,-82.588,-99.271,1,0.18542,-0.51667,0.84375
-58.487,-100.51,-81.546,-99.345,1,0.1875,-0.50891,0.84516
-57.807,-100.81,-80.653,-99.656,1,0.18542,-0.5151,0.84375
-57.828,-100.8,-80.053,-100.1,1,0.19844,-0.52344,0.83125
-58.53,-100.5,-79.808,-100.51,1,0.22734,-0.51172,0.83672
-59.688,-100,-79.878,-100.74,1,0.19781,-0.51646,0.83917
-60.948,-99.498,-80.144,-100.71,1,0.18568,-0.52943,0.84193
-61.941,-99.169,-80.446,-100.42,1,0.1875,-0.52729,0.84313
-62.4,-99.146,-80.642,-99.977,1,0.1862,-0.52682,0.84245
-62.234,-99.442,-80.653,-99.535,1,0.18625,-0.5275,0.8425
-61.541,-99.953,-80.487,-99.254,1,0.1875,-0.52865,0.84115
-60.566,-100.49,-80.232,-99.238,1,0.1875,-0.52984,0.84172
-59.603,-100.86,-80.024,-99.499,1,0.1875,-0.52667,0.84313
-58.896,-100.91,-79.991,-99.945,1,0.18688,-0.51781,0.84031
-58.568,-100.62,-80.208,-100.42,1,0.1875,-0.52703,0.84375
-58.592,-100.09,-80.666,-100.75,1,0.18594,-0.52344,0.84375
-58.825,-99.522,-81.27,-100.81,1,0.1875,-0.52109,0.84297
-59.078,-99.119,-81.874,-100.58,1,0.1875,-0.52156,0.84375
-59.195,-99.037,-82.322,-100.14,1,0.1875,-0.5225,0.8425
-59.119,-99.315,-82.503,-99.631,1,0.18672,-0.51797,0.84375
-58.902,-99.856,-82.384,-99.249,1,0.1875,-0.52297,0.84375
-58.679,-100.46,-82.013,-99.134,1,0.18609,-0.525,0.84375
-58.599,-100.91,-81.505,-99.333,1,0.18625,-0.525,0.845
-58.748,-101.02,-80.996,-99.779,1,0.1875,-0.51667,0.84375
-59.105,-100.76,-80.601,-100.31,1,0.18672,-0.5224,0.84193
-59.535,-100.2,-80.382,-100.75,1,0.18469,-0.51875,0.84234
-59.833,-99.557,-80.337,-100.91,1,0.18125,-0.51719,0.84375
