Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room
-72.158,-89.469,-86.897,-94.574,1
-67.53,-94.241,-82.896,-95.415,1
-64.94,-97.999,-79.85,-95.569,1
-64.416,-100.43,-78.032,-94.684,1
-65.587,-101.53,-77.422,-92.774,1
-67.809,-101.56,-77.748,-90.234,1
-70.332,-100.95,-78.577,-87.728,1
-72.481,-100.16,-79.458,-85.977,1
-73.802,-99.553,-80.045,-85.524,1
-74.123,-99.302,-80.188,-86.548,1
-73.553,-99.414,-79.943,-88.783,1
-72.4,-99.753,-79.524,-91.59,1
-71.062,-100.13,-79.209,-94.145,1
-69.914,-100.38,-79.23,-95.689,1
-69.226,-100.41,-79.695,-95.761,1
-69.129,-100.26,-80.559,-94.347,1
-69.615,-100,-81.652,-91.874,1
-70.586,-99.777,-82.744,-89.081,1
-71.892,-99.671,-83.637,-86.787,1
-73.377,-99.722,-84.228,-85.632,1
-74.898,-99.895,-84.545,-85.893,1
-76.323,-100.11,-84.724,-87.404,1
-77.526,-100.26,-84.949,-89.63,1
-78.383,-100.3,-85.377,-91.849,1
-78.776,-100.21,-86.074,-93.39,1
-78.625,-100.03,-86.983,-93.844,1
-77.913,-99.837,-87.94,-93.187,1
-76.721,-99.72,-88.736,-91.766,1
-75.229,-99.721,-89.183,-90.173,1
-73.698,-99.837,-89.19,-89.037,1
-72.416,-100.02,-88.792,-88.816,1
-71.632,-100.19,-88.148,-89.648,1
-71.49,-100.29,-87.486,-91.316,1
-71.986,-100.26,-87.032,-93.329,1
-72.968,-100.14,-86.935,-95.086,1
-74.176,-99.952,-87.223,-96.073,1
-75.31,-99.788,-87.795,-96.02,1
-76.118,-99.709,-88.461,-94.97,1
-76.458,-99.746,-89.004,-93.252,1
-76.334,-99.883,-89.255,-91.354,1
-75.885,-100.07,-89.144,-89.77,1
-75.331,-100.22,-88.719,-88.842,1
-74.896,-100.29,-88.128,-88.684,1
-74.74,-100.25,-87.562,-89.167,1
-74.911,-100.1,-87.201,-90.005,1
-75.339,-99.923,-87.152,-90.864,1
-75.871,-99.771,-87.432,-91.486,1
-76.33,-99.709,-87.97,-91.759,1
-76.586,-99.76,-88.642,-91.734,1
-76.599,-99.904,-89.317,-91.568,1
-76.43,-100.09,-89.895,-91.442,1
-76.214,-100.23,-90.331,-91.478,1
-76.106,-100.29,-90.625,-91.687,1
-76.214,-100.24,-90.801,-91.976,1
-76.554,-100.09,-90.876,-92.196,1
-77.035,-99.907,-90.836,-92.219,1
-77.488,-99.762,-90.638,-92,1
-77.722,-99.709,-90.232,-91.606,1
-77.592,-99.768,-89.59,-91.191,1
-77.057,-99.918,-88.748,-90.93,1
-76.199,-100.1,-87.815,-90.938,1
-75.203,-100.24,-86.961,-91.214,1
-74.303,-100.29,-86.382,-91.622,1
-73.705,-100.23,-86.233,-91.934,1
-73.524,-100.08,-86.576,-91.922,1
-73.748,-99.894,-87.35,-91.448,1
-74.245,-99.752,-88.37,-90.547,1
-74.815,-99.705,-89.375,-89.429,1
-75.257,-99.773,-90.106,-88.439,1
-75.446,-99.929,-90.379,-87.938,1
-75.372,-100.11,-90.15,-88.183,1
-75.14,-100.26,-89.53,-89.226,1
-74.931,-100.3,-88.758,-90.881,1
-74.925,-100.23,-88.128,-92.764,1
-75.227,-100.06,-87.896,-94.415,1
-75.818,-99.876,-88.198,-95.441,1
-76.543,-99.733,-89.01,-95.645,1
-77.153,-99.694,-90.148,-95.098,1
-77.389,-99.774,-91.323,-94.111,1
-77.062,-99.943,-92.234,-93.14,1
-76.127,-100.14,-92.651,-92.633,1
-74.71,-100.28,-92.483,-92.884,1
-73.069,-100.32,-91.796,-93.936,1
-71.525,-100.23,-90.78,-95.577,1
-70.356,-100.05,-89.679,-97.413,1
-69.711,-99.845,-88.709,-99.011,1
-69.558,-99.699,-87.99,-100.04,1
-69.694,-99.668,-87.519,-100.38,1
-69.818,-99.769,-87.187,-100.15,1
-69.629,-99.964,-86.837,-99.648,1
-68.933,-100.18,-86.338,-99.217,1
-67.719,-100.33,-85.645,-99.13,1
-66.172,-100.35,-84.828,-99.474,1
-64.621,-100.24,-84.05,-100.13,1
-63.439,-100.02,-83.51,-100.81,1
-62.923,-99.789,-83.363,-101.21,1
-63.199,-99.632,-83.654,-101.13,1
-64.174,-99.616,-84.291,-100.54,1
-65.561,-99.754,-85.06,-99.656,1
-66.968,-99.998,-85.697,-98.819,1
-68.017,-100.26,-85.971,-98.391,1
-68.464,-100.42,-85.772,-98.593,1
-68.27,-100.43,-85.156,-99.404,1
-67.606,-100.26,-84.333,-100.54,1
-66.79,-99.973,-83.605,-101.56,1
-66.168,-99.679,-83.255,-101.99,1
-65.995,-99.495,-83.451,-101.57,1
-66.34,-99.506,-84.169,-100.33,1
-67.061,-99.722,-85.183,-98.682,1
-67.858,-100.07,-86.125,-97.237,1
-68.387,-100.42,-86.593,-96.651,1
-68.399,-100.63,-86.29,-97.34,1
-67.865,-100.6,-85.127,-99.27,1
-67.029,-100.31,-83.285,-101.87,1
-66.371,-99.847,-81.177,-104.12,1
-66.492,-99.393,-79.359,-104.79,1
-67.938,-99.139,-78.377,-102.81,1
-71.021,-99.221,-78.614,-97.557,1
-75.695,-99.664,-80.183,-89.172,1
-81.517,-100.34,-82.886,-78.535,1
-87.733,-101.01,-86.265,-67.118,1
-93.438,-101.37,-89.721,-56.634,4
-97.798,-101.16,-92.666,-48.606,4
-100.26,-100.25,-94.678,-43.984,4
-100.68,-98.733,-95.592,-42.916,4
-99.349,-96.888,-95.531,-44.742,4
-96.932,-95.133,-94.842,-48.208,4
-94.248,-93.91,-93.992,-51.838,4
-92.076,-93.55,-93.426,-54.349,4
-90.954,-94.167,-93.455,-54.981,4
-91.053,-95.604,-94.179,-53.661,4
-92.173,-97.463,-95.493,-50.945,4
-93.826,-99.207,-97.132,-47.783,4
-95.414,-100.31,-98.766,-45.178,4
-96.414,-100.41,-100.1,-43.86,4
-96.533,-99.416,-100.94,-44.069,4
-95.784,-97.541,-101.23,-45.52,4
-94.463,-95.256,-101.04,-47.537,4
-93.039,-93.154,-100.52,-49.32,4
-91.997,-91.79,-99.841,-50.231,4
-91.679,-91.528,-99.121,-50.016,4
-92.187,-92.446,-98.428,-48.885,4
-93.351,-94.313,-97.767,-47.435,4
-94.796,-96.666,-97.106,-46.436,4
-96.07,-98.939,-96.414,-46.568,4
-96.787,-100.62,-95.691,-48.191,4
-96.753,-101.37,-94.978,-51.222,4
-96.02,-101.13,-94.348,-55.166,4
-94.866,-100.06,-93.879,-59.263,4
-93.699,-98.543,-93.628,-62.728,4
-92.921,-96.996,-93.61,-64.972,4
-92.796,-95.795,-93.787,-65.759,4
-93.368,-95.165,-94.096,-65.234,4
-94.442,-95.144,-94.462,-63.832,4
-95.649,-95.609,-94.839,-62.11,4
-96.564,-96.337,-95.216,-60.547,4
-96.842,-97.097,-95.624,-59.409,4
-96.333,-97.721,-96.109,-58.694,4
-95.128,-98.147,-96.707,-58.185,4
-93.546,-98.417,-97.41,-57.577,4
-92.038,-98.635,-98.153,-56.631,4
-91.058,-98.914,-98.821,-55.286,4
-90.935,-99.314,-99.276,-53.7,4
-91.777,-99.819,-99.403,-52.197,4
-93.448,-100.34,-99.142,-51.148,4
-95.607,-100.74,-98.52,-50.831,4
-97.811,-100.91,-97.649,-51.317,4
-99.637,-100.79,-96.698,-52.434,4
-100.79,-100.42,-95.849,-53.814,4
-101.19,-99.913,-95.25,-55.015,4
-100.94,-99.432,-94.977,-55.664,4
-100.3,-99.136,-95.021,-55.579,4
-99.603,-99.127,-95.305,-54.824,4
-99.123,-99.413,-95.716,-53.683,4
-99.02,-99.908,-96.155,-52.551,4
-99.297,-100.45,-96.565,-51.8,4
-99.82,-100.87,-96.949,-51.651,4
-100.38,-101.03,-97.358,-52.104,4
-100.77,-100.85,-97.856,-52.949,4
-100.86,-100.37,-98.481,-53.844,4
-100.63,-99.72,-99.208,-54.442,4
-100.18,-99.053,-99.943,-54.513,4
-99.682,-98.53,-100.54,-54.011,4
-99.313,-98.256,-100.84,-53.091,4
-99.197,-98.257,-100.72,-52.036,4
-99.355,-98.47,-100.16,-51.156,4
-99.698,-98.769,-99.205,-50.677,4
-100.06,-99.007,-98.028,-50.673,4
-100.25,-99.059,-96.828,-51.051,4
-100.12,-98.861,-95.794,-51.606,4
-99.617,-98.43,-95.047,-52.113,4
-98.811,-97.855,-94.607,-52.422,4
-97.869,-97.276,-94.396,-52.514,4
-97.013,-96.839,-94.273,-52.506,4
-96.457,-96.659,-94.098,-52.589,4
-96.346,-96.784,-93.789,-52.938,4
-96.717,-97.178,-93.366,-53.614,4
-97.487,-97.724,-92.955,-54.515,4
-98.483,-98.248,-92.748,-55.384,4
-99.49,-98.554,-92.942,-55.884,4
-100.31,-98.465,-93.665,-55.719,4
-100.8,-97.867,-94.913,-54.744,4
-100.93,-96.731,-96.537,-53.041,4
-100.74,-95.133,-98.271,-50.916,4
-100.34,-93.244,-99.801,-48.821,4
-99.878,-91.308,-100.85,-47.218,4
-99.475,-89.597,-101.28,-46.43,4
-99.207,-88.369,-101.08,-46.539,4
-99.093,-87.818,-100.46,-47.345,4
-99.094,-88.038,-99.69,-48.437,4
-99.14,-89.008,-99.074,-49.317,4
-99.157,-90.591,-98.837,-49.571,4
-99.088,-92.568,-99.056,-49.007,4
-98.914,-94.674,-99.64,-47.726,4
-98.652,-96.652,-100.37,-46.096,4
-98.351,-98.3,-100.96,-44.631,4
