Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room,AccX,AccY,AccZ
-88.625,-90.641,-78.29,-96.795,3,-0.39453,-0.74089,0.36823
-86.075,-95.163,-71.404,-99.715,3,-0.405,-0.7875,0.37125
-84.297,-98.306,-65.887,-101.89,3,-0.43625,-0.7775,0.35
-83.493,-100.01,-62.322,-102.99,3,-0.42865,-0.78047,0.34792
-83.636,-100.55,-60.841,-102.93,3,-0.43099,-0.78776,0.32969
-84.475,-100.36,-61.095,-101.94,3,-0.4375,-0.78542,0.32188
-85.617,-99.945,-62.354,-100.39,3,-0.40141,-0.78672,0.36172
-86.632,-99.671,-63.707,-98.709,3,-0.40625,-0.7875,0.35156
-87.17,-99.706,-64.3,-97.235,3,-0.40906,-0.79234,0.34969
-87.045,-100.01,-63.551,-96.152,3,-0.4625,-0.72656,0.40625
-86.262,-100.4,-61.297,-95.469,3,-0.26441,-0.88247,0.13906
-84.981,-100.66,-57.812,-95.065,3,-0.45573,-0.52187,-0.54375
-83.438,-100.65,-53.718,-94.775,3,-0.33281,-0.70651,-0.49219
-81.856,-100.35,-49.811,-94.476,3,-0.48875,-0.00125,-0.43625
-80.37,-99.877,-46.852,-94.141,3,-0.084687,0.84854,-0.36281
-79.012,-99.427,-45.376,-93.852,3,-0.0625,0.85573,-0.35833
-77.732,-99.186,-45.584,-93.755,3,-0.059375,0.85625,-0.36719
-76.473,-99.257,-47.327,-93.996,3,-0.06125,0.85104,-0.37312
-75.253,-99.62,-50.18,-94.647,3,-0.057917,0.84885,-0.37104
-74.21,-100.14,-53.581,-95.659,3,-0.0046875,0.78151,-0.51563
-73.61,-100.61,-56.989,-96.858,3,0.10771,0.6675,-0.59167
-73.778,-100.85,-60.012,-97.986,3,0.14896,0.13021,-0.98125
-74.992,-100.77,-62.473,-98.768,3,0.13333,0.10271,-0.92146
-77.36,-100.41,-64.401,-98.988,3,0.11328,0.097656,-0.9125
-80.726,-99.883,-65.97,-98.55,3,-0.24323,0.32135,-0.73229
-84.656,-99.405,-67.396,-97.5,3,-0.13056,-0.37604,0.94514
-88.495,-99.152,-68.843,-96.014,3,-0.11354,-0.25651,0.97396
-91.516,-99.216,-70.359,-94.349,3,-0.12188,-0.25406,0.98188
-93.098,-99.573,-71.871,-92.781,3,-0.11719,-0.25438,0.98781
-92.902,-100.09,-73.215,-91.55,3,-0.11979,-0.24427,0.98385
-90.974,-100.56,-74.212,-90.819,3,-0.10859,-0.23672,0.98359
-87.755,-100.83,-74.734,-90.657,3,-0.092708,-0.24167,0.99583
-83.978,-100.78,-74.757,-91.044,3,-0.11458,-0.22427,0.98312
-80.482,-100.45,-74.37,-91.89,3,-0.11625,-0.23135,0.98406
-77.995,-99.95,-73.747,-93.053,3,-0.12135,-0.22552,0.98854
-76.95,-99.475,-73.088,-94.361,3,-0.11688,-0.2225,0.99313
-77.38,-99.199,-72.553,-95.625,3,-0.1125,-0.22875,0.99156
-78.924,-99.222,-72.216,-96.661,3,-0.11372,-0.23125,0.98681
-80.954,-99.532,-72.049,-97.309,3,-0.10885,-0.22969,0.98385
-82.762,-100.01,-71.943,-97.467,3,-0.11667,-0.225,0.98472
-83.774,-100.48,-71.759,-97.118,3,-0.11172,-0.21953,0.98906
-83.711,-100.77,-71.392,-96.358,3,-0.11719,-0.22604,0.99115
-82.66,-100.77,-70.812,-95.391,3,-0.12135,-0.22448,0.98854
-81.035,-100.49,-70.089,-94.504,3,-0.12431,-0.24097,0.98125
-79.437,-100.02,-69.372,-93.999,3,-0.12431,-0.23264,0.98611
-78.463,-99.558,-68.842,-94.119,3,-0.12031,-0.2349,0.97552
-78.525,-99.259,-68.645,-94.963,3,-0.12431,-0.2342,0.98889
-79.721,-99.236,-68.841,-96.442,3,-0.12031,-0.23594,0.98438
-81.809,-99.495,-69.371,-98.272,3,-0.11563,-0.23828,0.97891
-84.277,-99.938,-70.069,-100.03,3,-0.125,-0.25156,0.99844
-86.497,-100.4,-70.706,-101.26,3,-0.11944,-0.2375,0.98646
-87.902,-100.71,-71.058,-101.61,3,-0.125,-0.23594,0.98359
-88.144,-100.76,-70.983,-100.91,3,-0.12396,-0.23681,0.98715
-87.186,-100.52,-70.466,-99.268,3,-0.125,-0.23958,0.9875
-85.301,-100.1,-69.637,-97.037,3,-0.125,-0.23264,0.98698
-82.984,-99.642,-68.739,-94.742,3,-0.12031,-0.22891,0.9875
-80.811,-99.321,-68.064,-92.935,3,-0.12396,-0.22917,0.98281
-79.281,-99.253,-67.874,-92.045,3,-0.12361,-0.22986,0.98472
-78.696,-99.461,-68.319,-92.256,3,-0.12344,-0.23125,0.9875
-79.094,-99.866,-69.395,-93.46,3,-0.12448,-0.23906,0.99271
-80.272,-100.32,-70.936,-95.282,3,-0.12396,-0.2349,0.99062
-81.86,-100.65,-72.648,-97.195,3,-0.12375,-0.21917,0.99875
-83.445,-100.74,-74.186,-98.671,3,-0.11875,-0.21875,0.99635
-84.684,-100.56,-75.238,-99.331,3,-0.10729,-0.21875,0.99479
-85.391,-100.17,-75.598,-99.05,3,-0.11875,-0.225,0.99375
-85.565,-99.722,-75.219,-97.985,3,-0.11875,-0.22057,0.99635
-85.369,-99.38,-74.214,-96.513,3,-0.11042,-0.22057,0.9901
-85.056,-99.269,-72.825,-95.11,3,-0.1176,-0.21875,0.99
-84.885,-99.428,-71.355,-94.212,3,-0.11875,-0.22896,0.99562
-85.037,-99.797,-70.096,-94.083,3,-0.12125,-0.22625,0.99375
-85.57,-100.24,-69.258,-94.75,3,-0.12375,-0.23,0.98438
-86.408,-100.59,-68.928,-96.017,3,-0.12219,-0.23531,0.98672
-87.375,-100.72,-69.058,-97.538,3,-0.12292,-0.23125,0.98594
-88.25,-100.59,-69.499,-98.931,3,-0.12188,-0.22891,0.99219
