Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room,AccX,AccY,AccZ
-88,-100,-78.25,-103,1,-0.14601,0.84566,0.3816
-77,-100,-78.5,-100,1,0.77656,0.42188,0.15625
-70.4,-100,-85.667,-82,1,0.52806,0.33194,0.67278
-72.333,-100,-77,-82.5,1,-0.049306,0.37778,0.76563
-74.667,-100,-75.333,-100,1,-0.53021,0.38854,0.3125
-60.5,-100,-70.25,-85.5,1,-0.028125,-0.64479,0.6875
-76.667,-100,-69,-100,1,-0.038542,-0.60547,0.76563
-59.5,-100,-68,-100,1,-0.020313,-0.5125,0.82266
-67.6,-100,-75.25,-84,1,-0.16875,0.020625,0.85531
-92.667,-100,-87,-100,1,0.51146,0.39687,0.78333
-78.5,-100,-84.667,-100,1,0.60573,0.21771,0.68073
-87.5,-100,-80,-100,1,0.67708,0.096354,0.76823
-82,-100,-85.2,-100,1,0.63938,0.13521,0.76
-73.8,-100,-89,-86,1,0.62819,0.12181,0.77819
-85.667,-100,-78.333,-100,1,0.0125,-0.29167,0.41042
-77.333,-100,-92,-100,1,-0.071875,-0.92604,-0.009375
-71.333,-100,-80,-100,1,0.0875,-0.2474,0.073438
-81.667,-100,-75.25,-100,1,0.27969,0.65026,0.80469
-75.5,-100,-84.75,-100,1,0.27656,0.61797,0.72031
-67.667,-100,-83.5,-96,1,0.27274,0.63924,0.75382
-75.5,-100,-72.75,-100,1,-0.33594,-0.17656,0.65938
-72.667,-100,-81.6,-87,1,0.04875,-0.34528,0.25236
-67.5,-100,-81,-95,1,0.26875,0.60729,0.80938
-67,-100,-71,-79,1,-0.20917,0.19958,0.75708
-64,-100,-78.5,-100,1,-0.11146,-0.27813,0.54557
-64,-100,-85.5,-100,1,0.12344,0.40547,0.92891
-69.333,-100,-85.333,-100,1,0.12708,0.39792,0.92083
-78.4,-100,-83.6,-98,1,0.13167,0.39333,0.92583
-75.5,-100,-79,-100,1,0.15313,0.39297,0.92266
-69.75,-100,-89,-100,1,0.13594,0.40547,0.91875
-70.667,-100,-85,-90,1,0.15,0.38542,0.92778
-74.6,-100,-87.25,-100,1,0.14703,0.38406,0.92297
