Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room,AccX,AccY,AccZ
-76.333,-100,-70.333,-82.333,1,0.60764,-0.25208,0.75
-68,-100,-69.75,-82.5,1,0.60677,-0.25521,0.75
-69.75,-100,-75,-85,1,0.61094,-0.25938,0.74844
-75.667,-100,-76.75,-89,1,0.61753,-0.26059,0.74236
-75.8,-100,-74,-82.75,1,0.61969,-0.2649,0.74667
-72.5,-100,-80.5,-91,1,0.62378,-0.26649,0.74444
-76.8,-100,-71.75,-83.8,1,0.62094,-0.2701,0.74458
-71.25,-100,-71,-84.333,1,0.62378,-0.27309,0.74687
-70.75,-100,-76.333,-86.5,1,0.61997,-0.2651,0.7408
-74,-100,-74,-83.667,1,0.61701,-0.27028,0.74375
-66,-100,-73.5,-80.8,1,0.62191,-0.2709,0.74632
-75.5,-100,-72.8,-84.5,1,0.61927,-0.26083,0.74375
-80.6,-100,-73.5,-80,1,0.62094,-0.27521,0.7375
-75,-100,-66,-89.5,1,0.62292,-0.2658,0.73681
-78.25,-100,-82.667,-80.5,1,0.6224,-0.26354,0.74306
-77,-100,-67.667,-81.25,1,0.61684,-0.26597,0.75
-67,-100,-74.8,-80.8,1,0.61875,-0.26875,0.74306
-73,-100,-75,-77.2,1,0.62097,-0.26313,0.74306
-79.5,-100,-72.333,-77.75,1,0.61875,-0.26146,0.75
-80.5,-100,-71.5,-82,1,0.62115,-0.26052,0.74854
-79,-100,-70.2,-72.333,1,0.62208,-0.25806,0.74708
-70.25,-100,-73.6,-81.75,1,0.62167,-0.2324,0.72875
-80.25,-100,-67,-78,1,0.68781,-0.19854,0.71437
-75.75,-100,-71.5,-79.6,1,0.66892,-0.25024,0.69392
-68.25,-100,-70.75,-82.75,1,0.68177,-0.25312,0.68542
-72.5,-100,-70.5,-81.75,1,0.675,-0.24688,0.68906
-63,-100,-73,-82,1,0.66771,-0.25104,0.69958
-69,-100,-76.6,-82.75,1,0.68521,-0.24271,0.68604
-67.8,-100,-73.4,-80,1,0.6625,-0.24677,0.68885
-100,-27,-100,-99,2,-0.016875,0.32688,-0.87187
-100,-37,-100,-98,2,-0.0015625,0.33437,-0.87656
-100,-33.5,-100,-100,2,-0.009375,0.35313,-0.86875
-100,-31,-100,-100,2,0,0.35,-0.87813
-100,-44,-100,-100,2,-0.00625,0.3275,-0.8725
-100,-64.4,-100,-97,2,0.89688,0.34188,-0.19062
-100,-71.8,-100,-94,2,0.94,0.16375,0.0825
-100,-70.25,-100,-88.667,2,1.0271,0.21484,-0.04974
-99,-69,-100,-91.5,2,0.99427,0.14708,0.10135
-100,-63.5,-100,-79,2,1.1516,0.25938,-0.16875
-100,-65,-100,-90.5,2,0.97578,0.33828,-0.041406
-100,-71.2,-100,-89,2,1.0647,0.20219,-0.074375
-100,-79.8,-100,-82.667,2,1.005,0.2875,-0.12042
-100,-74.8,-100,-88,2,0.95531,0.20063,-0.090938
-100,-72,-100,-85.5,2,0.97578,0.17266,0.0375
-100,-70.2,-100,-92,2,0.99906,0.25594,-0.036562
-100,-64.8,-100,-99,2,0.93437,0.1925,0.0775
-100,-67.75,-100,-92.333,2,0.77839,0.48906,-0.017969
-100,-68.75,-100,-93.333,2,1.0906,0.36771,0.020573
-100,-73.25,-100,-100,2,1.0203,0.44219,-0.11875
-100,-68,-100,-100,2,1.0188,0.3625,-0.06
-100,-80.667,-100,-90,2,0.9724,0.33802,-0.2224
-100,-72,-100,-84,2,0.9225,0.41125,-0.0125
-100,-75.4,-100,-91.5,2,0.98281,0.21187,-0.067187
-100,-69.2,-100,-85,2,0.94688,0.23688,-0.035
-100,-80.4,-100,-89.333,2,0.93583,0.15813,0.032708
-86,-76.5,-100,-91,2,0.93438,0.22847,-0.091667
-100,-79.25,-100,-82,2,0.65547,0.64297,-0.046875
-100,-69.333,-100,-81,2,-0.04375,0.90312,-0.32917
