Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room
-83.5,-100,-63.667,-100,3
-83,-100,-59.6,-100,3
-81.4,-100,-69.4,-100,3
-79.667,-100,-64.75,-100,3
-88.75,-100,-62.667,-100,3
-91,-100,-65.667,-100,3
-78.5,-100,-60.6,-100,3
-86.75,-100,-62.667,-100,3
-83.75,-100,-63.8,-100,3
-91.5,-100,-67.5,-100,3
-91,-100,-54.25,-89,3
-83.25,-100,-56.333,-96,3
-81.667,-100,-60.5,-100,3
-79.8,-100,-45.4,-100,3
-79,-100,-46.5,-88,3
-78.5,-100,-50.5,-85,3
-80.75,-100,-46.5,-100,3
-76,-100,-45,-84,3
-78.167,-100,-48.8,-100,3
-71,-100,-46.5,-100,3
-76.2,-100,-62.667,-100,3
-70.667,-100,-65,-100,3
-77.333,-100,-62.8,-100,3
-75,-100,-61.5,-100,3
-79,-100,-60.75,-92,3
-89.667,-100,-69.5,-84,3
-88,-100,-71.667,-100,3
-93,-100,-71.4,-100,3
-87,-100,-71.4,-100,3
-88,-100,-70.5,-87,3
-100,-100,-76,-100,3
-88.5,-100,-73.25,-88,3
-87.25,-100,-79.2,-84,3
-80.25,-100,-70.4,-88,3
-75,-100,-70.75,-93,3
-71,-100,-76.2,-100,3
-72,-100,-74.2,-100,3
-81.5,-100,-72,-85.333,3
-96,-100,-71.667,-100,3
-75,-100,-73,-100,3
-88.333,-100,-72.75,-100,3
-81.5,-100,-63.667,-100,3
-79.5,-100,-75.75,-98.5,3
-83.333,-100,-70,-87,3
-75,-100,-70,-83,3
-71,-100,-67.25,-98,3
-82,-100,-72.5,-99,3
-96.5,-100,-67,-100,3
-72,-100,-70.75,-100,3
-88,-100,-66.5,-100,3
-84,-100,-71.333,-98,3
-88,-100,-69.25,-100,3
-84,-100,-72.667,-101,3
-86.333,-100,-73,-100,3
-83.333,-100,-70.25,-99,3
-86.75,-100,-64.5,-100,3
-82.5,-100,-73,-84,3
-81.667,-100,-64.667,-85,3
-79.5,-100,-68,-100,3
-83.5,-100,-68.75,-98,3
-73,-100,-71.5,-100,3
-73,-100,-73.4,-87,3
-84.75,-100,-76.333,-100,3
-88,-100,-70.333,-100,3
-100,-100,-79.667,-100,3
-78,-100,-74.75,-100,3
-77,-100,-74,-100,3
-88,-100,-70.2,-87,3
-81.5,-100,-72.6,-86,3
-100,-100,-74.2,-100,3
-80,-100,-65.6,-100,3
-84.5,-100,-67.2,-100,3
-80,-100,-69.333,-100,3
-87,-100,-70.75,-100,3
-88,-100,-72.4,-88,3
-95.5,-100,-71.75,-100,3
-100,-100,-65,-100,3
-88,-100,-72.25,-100,3
-80,-100,-73.333,-100,3
-77.667,-100,-69.75,-100,3
-88,-100,-65,-100,3
-87,-100,-68.333,-100,3
-87.667,-100,-73,-100,3
-83.75,-100,-71.333,-85,3
-95,-100,-69,-90,3
-94,-100,-72.5,-100,3
-85,-100,-70.8,-91.5,3
-73,-100,-64.667,-86,3
-89,-100,-76.667,-100,3
-77.667,-100,-75.6,-100,3
-87.5,-100,-72.6,-91.5,3
-87.5,-100,-72.25,-100,3
-87,-100,-68.25,-100,3
-89.333,-100,-70.333,-100,3
-83.333,-100,-70,-100,3
-74.5,-100,-72,-85,3
-80.5,-100,-64.667,-100,3
-90,-100,-72.25,-100,3
-89,-100,-71.2,-87,3
-88.5,-100,-67.6,-100,3
-90,-100,-62,-88,3
-84.667,-100,-68,-100,3
-80.5,-100,-69.25,-100,3
-73,-100,-74,-100,3
-80.5,-100,-75.25,-100,3
-80,-100,-67.25,-87,3
-80.5,-100,-69.75,-100,3
-88.25,-100,-72,-100,3
-77.667,-100,-71.6,-100,3
-72,-100,-70,-88,3
-87,-100,-71.5,-100,3
-83.667,-100,-72,-100,3
-80.333,-100,-71.75,-100,3
-88.75,-100,-63,-100,3
-79,-100,-73.333,-89,3
-82,-100,-70.25,-100,3
-82.667,-100,-71,-100,3
-76,-100,-74.2,-100,3
-88,-100,-74.25,-100,3
-103,-100,-76,-100,3
-75.6,-100,-64.4,-100,3
-100,-100,-100,-31,4
-100,-100,-100,-31,4
-94.667,-99,-83,-39,4
-101.5,-100,-88,-67,4
-88.5,-100,-91.5,-56.5,4
-100,-100,-100,-57.333,4
-100,-100,-100,-59.75,4
